Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-134.176,-033.321,+009.648,+0.335,+0.630,+2.488,-05.2110,-01.3720,-07.7470,-00.004908,+00.100127,-00.009752
-134.173,-033.230,+009.645,+0.312,+0.635,+2.514,-05.1840,-01.3260,-07.7920,+00.001845,+00.062673,-00.012315
-134.181,-033.184,+009.650,+0.307,+0.660,+2.459,-05.2130,-01.3710,-07.7960,+00.008773,+00.034501,-00.013681
-134.189,-033.155,+009.657,+0.302,+0.640,+2.481,-05.1790,-01.3210,-07.8200,+00.003922,+00.017842,-00.008488
-134.198,-033.133,+009.661,+0.312,+0.625,+2.492,-05.1730,-01.3110,-07.7740,-00.010750,+00.017416,-00.010256
-134.204,-033.101,+009.663,+0.330,+0.660,+2.476,-05.1780,-01.2340,-07.7480,-00.006067,+00.032235,-00.006996
-134.209,-033.060,+009.649,+0.307,+0.645,+2.481,-05.1540,-01.3180,-07.7470,+00.009328,+00.041368,-00.012495
-134.222,-033.003,+009.670,+0.302,+0.620,+2.492,-05.1900,-01.2180,-07.8590,+00.009184,+00.049471,-00.018554
-134.234,-032.953,+009.673,+0.307,+0.655,+2.481,-05.1460,-01.3210,-07.7000,-00.013936,+00.038370,-00.012296
-134.240,-032.906,+009.673,+0.298,+0.635,+2.475,-05.1580,-01.5060,-07.7490,-00.001645,+00.037991,-00.009643
-134.238,-032.855,+009.664,+0.302,+0.635,+2.513,-05.1240,-01.4010,-07.7020,-00.009502,+00.047026,-00.004466
-134.228,-032.801,+009.638,+0.307,+0.645,+2.492,-05.0910,-01.4350,-07.7890,-00.022467,+00.046931,+00.002426
-134.217,-032.749,+009.608,+0.302,+0.625,+2.481,-05.1780,-01.3050,-07.9320,-00.018976,+00.042778,-00.000373
-134.210,-032.714,+009.585,+0.298,+0.620,+2.497,-05.0900,-01.2500,-07.8270,-00.012966,+00.026215,-00.001882
-134.208,-032.691,+009.571,+0.298,+0.635,+2.486,-05.1680,-01.2600,-07.8960,-00.005404,+00.016805,-00.004619
-134.211,-032.676,+009.559,+0.302,+0.620,+2.486,-05.0400,-01.1860,-07.6380,-00.029142,+00.008488,+00.000258
-134.214,-032.658,+009.552,+0.298,+0.625,+2.486,-04.9760,-01.4280,-07.8090,-00.008346,+00.014240,-00.003626
-134.207,-032.633,+009.537,+0.298,+0.645,+2.481,-05.0420,-01.3990,-07.7920,-00.014376,+00.024263,+00.003924
-134.185,-032.596,+009.494,+0.302,+0.620,+2.481,-05.1490,-01.3500,-07.8170,-00.044677,+00.044491,+00.017933
-134.153,-032.547,+009.433,+0.289,+0.640,+2.496,-05.0500,-01.3690,-07.8320,-00.039128,+00.044252,+00.017663
-134.120,-032.494,+009.373,+0.298,+0.630,+2.486,-05.0940,-01.3460,-07.9100,-00.034216,+00.048604,+00.014846
-134.094,-032.449,+009.328,+0.279,+0.675,+2.496,-05.0580,-01.2340,-07.9230,-00.020584,+00.033896,+00.009330
-134.087,-032.427,+009.318,+0.279,+0.606,+2.507,-05.0940,-01.1780,-07.9540,+00.004840,+00.014585,-00.005389
-134.097,-032.421,+009.336,+0.293,+0.640,+2.491,-05.0920,-01.0840,-07.9880,+00.016302,-00.002586,-00.010497
-134.115,-032.425,+009.366,+0.284,+0.630,+2.485,-05.0750,-01.3620,-07.9010,+00.016752,-00.006778,-00.011634
-134.128,-032.431,+009.387,+0.293,+0.630,+2.497,-05.0750,-01.3840,-07.8950,+00.006035,-00.005005,-00.004639
-134.130,-032.434,+009.390,+0.284,+0.640,+2.480,-05.1200,-01.3810,-07.8590,-00.003191,+00.001921,+00.002785
-134.123,-032.428,+009.379,+0.288,+0.630,+2.491,-05.0560,-01.3440,-07.9050,-00.008785,+00.006618,+00.007734
-134.109,-032.427,+009.360,+0.298,+0.645,+2.508,-05.0580,-01.2850,-07.8630,-00.009939,-00.000759,+00.009999
-134.098,-032.433,+009.347,+0.284,+0.650,+2.480,-05.0960,-01.2620,-07.8820,-00.004241,-00.004579,+00.006783
-134.094,-032.442,+009.345,+0.288,+0.621,+2.502,-05.0910,-01.2420,-07.9050,+00.004271,-00.008242,+00.001417
-134.098,-032.453,+009.354,+0.293,+0.606,+2.502,-05.1040,-01.3100,-07.9090,+00.006606,-00.009527,-00.001918
-134.104,-032.465,+009.365,+0.293,+0.620,+2.470,-05.0830,-01.3060,-07.9070,+00.006853,-00.012998,-00.002463
-134.111,-032.483,+009.375,+0.288,+0.611,+2.486,-05.0510,-01.3370,-07.8640,+00.003371,-00.014587,-00.000620
-134.109,-032.501,+009.373,+0.293,+0.621,+2.502,-05.1030,-01.3070,-07.9280,-00.005913,-00.013743,+00.008543
-134.100,-032.521,+009.361,+0.302,+0.625,+2.486,-05.0880,-01.3160,-07.8610,-00.009151,-00.011293,+00.010740
-134.092,-032.536,+009.349,+0.293,+0.635,+2.486,-05.1030,-01.3280,-07.8480,-00.005473,-00.011212,+00.006062
-134.086,-032.546,+009.341,+0.288,+0.616,+2.497,-05.0960,-01.2490,-07.8690,-00.001007,-00.007572,+00.003299
-134.086,-032.554,+009.341,+0.293,+0.620,+2.481,-05.0730,-01.3110,-07.8890,+00.002016,-00.007664,+00.002658
-134.085,-032.564,+009.344,+0.293,+0.640,+2.486,-05.1190,-01.3120,-07.8500,+00.004487,-00.007347,+00.000817
-134.086,-032.569,+009.351,+0.293,+0.625,+2.491,-05.1100,-01.3100,-07.8860,+00.006150,-00.002143,-00.001328
-134.088,-032.566,+009.357,+0.293,+0.640,+2.480,-05.1440,-01.3190,-07.9040,+00.004348,+00.009071,-00.001000
-134.087,-032.551,+009.358,+0.288,+0.616,+2.491,-05.1070,-01.3120,-07.8990,-00.000049,+00.016122,+00.000885
-134.081,-032.529,+009.352,+0.293,+0.621,+2.508,-05.0840,-01.3160,-07.8880,-00.003190,+00.021469,+00.003638
-134.073,-032.510,+009.341,+0.302,+0.650,+2.492,-05.0980,-01.2970,-07.8870,-00.007565,+00.018375,+00.004998
-134.064,-032.497,+009.326,+0.293,+0.635,+2.486,-05.0840,-01.3350,-07.8620,-00.002048,+00.011888,+00.002884
-134.060,-032.484,+009.323,+0.289,+0.645,+2.507,-05.0860,-01.2880,-07.8860,-00.001424,+00.012302,+00.001097
-134.055,-032.469,+009.315,+0.288,+0.635,+2.469,-05.1250,-01.2120,-07.9250,-00.000155,+00.013710,-00.000084
-134.054,-032.454,+009.314,+0.293,+0.645,+2.486,-05.0830,-01.2750,-07.9460,-00.004663,+00.014916,+00.000304
-134.053,-032.444,+009.313,+0.288,+0.621,+2.507,-05.0970,-01.3230,-07.8840,-00.000345,+00.007056,-00.000964
-134.050,-032.433,+009.307,+0.298,+0.625,+2.492,-05.1190,-01.2220,-07.9140,-00.001493,+00.009809,+00.000199
-134.047,-032.421,+009.302,+0.298,+0.611,+2.508,-05.0860,-01.3140,-07.8760,-00.005475,+00.011275,+00.001700
-134.047,-032.411,+009.299,+0.293,+0.616,+2.513,-05.0380,-01.3340,-07.8730,-00.003458,+00.005748,+00.000930
-134.045,-032.407,+009.295,+0.284,+0.616,+2.486,-05.0870,-01.2380,-07.9290,-00.001804,+00.002993,+00.000031
-134.046,-032.404,+009.298,+0.288,+0.630,+2.491,-05.0900,-01.2830,-07.8810,+00.002947,+00.004198,-00.002091
-134.045,-032.402,+009.295,+0.293,+0.616,+2.502,-05.0580,-01.2890,-07.8780,-00.001452,-00.004940,+00.001289
-134.051,-032.407,+009.306,+0.279,+0.616,+2.469,-05.4870,-01.2990,-08.0610,+00.014005,+00.000808,-00.010294
-134.065,-032.411,+009.341,+0.288,+0.621,+2.491,-05.1100,-01.1750,-07.9180,+00.017244,-00.011099,-00.005200
-134.078,-032.422,+009.375,+0.284,+0.626,+2.507,-05.1710,-01.3790,-08.0820,+00.031193,-00.005100,-00.008800
-134.097,-032.443,+009.420,+0.288,+0.630,+2.475,-05.0860,-01.3140,-07.9370,+00.031358,-00.024320,-00.011530
-134.120,-032.475,+009.475,+0.293,+0.635,+2.464,-05.0890,-01.2870,-07.9760,+00.040588,-00.036949,-00.012173
-134.151,-032.518,+009.547,+0.293,+0.611,+2.502,-05.1130,-01.3080,-07.9090,+00.055761,-00.041022,-00.017230
-134.179,-032.560,+009.609,+0.302,+0.645,+2.497,-05.1480,-01.3370,-07.6130,+00.034940,-00.026865,-00.011123
-134.207,-032.613,+009.671,+0.302,+0.630,+2.476,-05.1670,-01.3830,-08.0090,+00.052859,-00.043119,-00.012580
-134.237,-032.671,+009.730,+0.302,+0.635,+2.470,-05.1250,-01.3660,-07.8790,+00.040652,-00.053894,-00.012662
-134.268,-032.721,+009.795,+0.298,+0.665,+2.481,-05.0900,-01.3330,-07.9190,+00.039356,-00.049477,-00.014589
-134.297,-032.769,+009.862,+0.293,+0.650,+2.475,-05.1230,-01.2790,-07.7610,+00.037611,-00.044683,-00.013559
-134.324,-032.803,+009.917,+0.298,+0.650,+2.497,-05.1450,-01.4810,-07.7240,+00.033889,-00.033649,-00.014989
-134.348,-032.821,+009.964,+0.312,+0.640,+2.492,-05.1040,-01.3620,-07.8860,+00.031389,-00.012938,-00.013954
-134.361,-032.824,+010.001,+0.298,+0.635,+2.481,-05.1630,-01.3880,-07.9510,+00.029905,+00.000483,-00.007209
