Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-166.468,-029.419,+009.999,+0.196,+0.508,+2.661,-04.6510,-01.4470,-08.0940,+00.006283,-00.018536,-00.003941
-166.476,-029.437,+010.010,+0.191,+0.493,+2.656,-04.6340,-01.4580,-08.1030,+00.006112,-00.013843,-00.000884
-166.482,-029.457,+010.020,+0.196,+0.478,+2.629,-04.6500,-01.4320,-08.1550,+00.006547,-00.017016,-00.000738
-166.487,-029.474,+010.029,+0.182,+0.478,+2.644,-04.6700,-01.4680,-08.1560,+00.005916,-00.013107,+00.001868
-166.489,-029.486,+010.037,+0.200,+0.493,+2.656,-04.7080,-01.4130,-08.0980,+00.006583,-00.006639,+00.001012
-166.491,-029.492,+010.043,+0.196,+0.513,+2.661,-04.6660,-01.4260,-08.1330,+00.006091,-00.004231,+00.000022
-166.492,-029.496,+010.049,+0.205,+0.493,+2.667,-04.6700,-01.4530,-08.1250,+00.004789,-00.002951,+00.000991
-166.494,-029.502,+010.056,+0.196,+0.483,+2.645,-04.6860,-01.4200,-08.1130,+00.006717,-00.004825,+00.000148
-166.499,-029.509,+010.067,+0.200,+0.483,+2.651,-04.6800,-01.4080,-08.1620,+00.010482,-00.005907,-00.002138
-166.507,-029.522,+010.081,+0.196,+0.468,+2.656,-04.6720,-01.4350,-08.1240,+00.010621,-00.017967,-00.002201
-166.514,-029.540,+010.093,+0.205,+0.488,+2.645,-04.6480,-01.4640,-08.1020,+00.006314,-00.017856,-00.000761
-166.520,-029.564,+010.102,+0.205,+0.473,+2.635,-04.6830,-01.4420,-08.1180,+00.007010,-00.019610,+00.000012
-166.527,-029.586,+010.115,+0.186,+0.459,+2.672,-04.6960,-01.3980,-08.1290,+00.011540,-00.021725,-00.001907
-166.539,-029.611,+010.136,+0.210,+0.513,+2.645,-04.7270,-01.4400,-08.1460,+00.014564,-00.022493,-00.005663
-166.555,-029.635,+010.162,+0.186,+0.503,+2.644,-04.7270,-01.4500,-08.1310,+00.017393,-00.019535,-00.009826
-166.573,-029.649,+010.192,+0.200,+0.478,+2.656,-04.7000,-01.4320,-08.1240,+00.021625,-00.014675,-00.011494
-166.596,-029.666,+010.228,+0.200,+0.503,+2.640,-04.7330,-01.4140,-08.1260,+00.024999,-00.014456,-00.016748
-166.627,-029.685,+010.270,+0.200,+0.488,+2.634,-04.6970,-01.4400,-08.0570,+00.024075,-00.026138,-00.020166
-166.662,-029.720,+010.311,+0.200,+0.483,+2.661,-04.7400,-01.5000,-08.1320,+00.023150,-00.029726,-00.019841
-166.693,-029.746,+010.354,+0.210,+0.513,+2.651,-04.7070,-01.4580,-08.1290,+00.027526,-00.026772,-00.019068
-166.726,-029.770,+010.401,+0.205,+0.513,+2.645,-04.6800,-01.4630,-08.1030,+00.030155,-00.022948,-00.019377
-166.760,-029.797,+010.452,+0.205,+0.488,+2.635,-04.7140,-01.5010,-08.0950,+00.029477,-00.026462,-00.019645
-166.792,-029.827,+010.499,+0.205,+0.498,+2.645,-04.7790,-01.5100,-08.1260,+00.028859,-00.034338,-00.017402
-166.822,-029.842,+010.546,+0.214,+0.493,+2.635,-04.7220,-01.4990,-08.0530,+00.028081,-00.016823,-00.018405
-166.852,-029.854,+010.587,+0.200,+0.488,+2.656,-04.7470,-01.5310,-08.0650,+00.023270,-00.015398,-00.017209
-166.875,-029.864,+010.618,+0.214,+0.498,+2.635,-04.7310,-01.5370,-08.0560,+00.012907,-00.003815,-00.012847
-166.894,-029.863,+010.643,+0.210,+0.493,+2.629,-04.7550,-01.4990,-08.0980,+00.014527,+00.000270,-00.012987
-166.915,-029.851,+010.667,+0.210,+0.493,+2.656,-04.7390,-01.5010,-08.0710,+00.012862,+00.017855,-00.017535
-166.941,-029.827,+010.696,+0.214,+0.513,+2.613,-04.8090,-01.5230,-08.0930,+00.014195,+00.020792,-00.024168
-166.973,-029.794,+010.727,+0.210,+0.503,+2.645,-04.8250,-01.4860,-08.1250,+00.014520,+00.030404,-00.032463
-167.015,-029.755,+010.767,+0.200,+0.488,+2.661,-04.6580,-01.5560,-08.0700,+00.021012,+00.026200,-00.036436
-167.054,-029.728,+010.809,+0.210,+0.508,+2.651,-04.6800,-01.5620,-08.0750,+00.020485,+00.014805,-00.028591
-167.085,-029.706,+010.844,+0.200,+0.533,+2.634,-04.6690,-01.5950,-08.0920,+00.015303,+00.016320,-00.024452
-167.114,-029.685,+010.873,+0.205,+0.488,+2.656,-04.7300,-01.5790,-08.0910,+00.012247,+00.015223,-00.022575
-167.144,-029.660,+010.901,+0.200,+0.513,+2.623,-04.7370,-01.5490,-08.0820,+00.013514,+00.022260,-00.027286
-167.174,-029.626,+010.929,+0.200,+0.503,+2.618,-04.7310,-01.5660,-08.1200,+00.011822,+00.027245,-00.026950
-167.203,-029.585,+010.953,+0.200,+0.508,+2.661,-04.6550,-01.5580,-08.0920,+00.007933,+00.031979,-00.026963
-167.229,-029.545,+010.974,+0.200,+0.518,+2.650,-04.6590,-01.5710,-08.1070,+00.006542,+00.032435,-00.021548
-167.252,-029.506,+010.989,+0.196,+0.498,+2.629,-04.6450,-01.6190,-08.0770,+00.003795,+00.029422,-00.021007
-167.272,-029.468,+011.003,+0.200,+0.488,+2.651,-04.6910,-01.5970,-08.0920,+00.002855,+00.026030,-00.018711
