Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+113.429,-028.939,+010.324,+1.388,-0.620,+2.526,-04.6080,-01.5060,-08.1730,-00.000016,+00.001206,+00.000118
+113.428,-028.939,+010.326,+1.388,-0.644,+2.553,-04.5820,-01.4940,-08.1740,+00.000743,+00.000232,+00.000255
+113.428,-028.937,+010.326,+1.384,-0.615,+2.536,-04.5930,-01.5070,-08.1440,-00.000225,+00.001199,-00.000792
+113.429,-028.935,+010.324,+1.374,-0.624,+2.536,-04.5840,-01.4790,-08.1660,+00.000536,+00.003572,-00.000424
+113.430,-028.933,+010.323,+1.374,-0.624,+2.552,-04.5800,-01.4770,-08.1540,+00.001290,+00.001125,-00.000481
+113.429,-028.931,+010.325,+1.384,-0.605,+2.531,-04.5870,-01.4940,-08.1610,+00.000774,+00.000544,-00.000654
+113.428,-028.930,+010.327,+1.384,-0.615,+2.536,-04.5950,-01.4870,-08.1540,+00.000204,+00.000695,+00.000597
+113.428,-028.928,+010.326,+1.379,-0.600,+2.563,-04.5810,-01.4710,-08.1560,+00.000575,+00.000440,-00.000451
+113.428,-028.928,+010.327,+1.374,-0.615,+2.520,-04.5650,-01.4870,-08.1650,+00.001791,-00.000132,-00.000514
+113.428,-028.928,+010.326,+1.379,-0.619,+2.536,-04.5790,-01.4950,-08.1880,-00.000280,-00.000856,+00.000285
+113.427,-028.928,+010.327,+1.384,-0.615,+2.531,-04.5780,-01.5030,-08.2140,-00.000719,-00.001773,+00.000897
+113.425,-028.929,+010.326,+1.384,-0.610,+2.542,-04.5810,-01.4830,-08.1500,-00.000452,-00.001460,-00.000387
+113.427,-028.930,+010.323,+1.384,-0.620,+2.531,-04.5990,-01.4850,-08.1730,-00.001402,-00.000717,+00.001353
+113.428,-028.928,+010.319,+1.383,-0.634,+2.531,-04.5770,-01.4790,-08.1750,-00.002048,+00.002074,+00.000190
+113.429,-028.925,+010.316,+1.379,-0.595,+2.525,-04.5930,-01.5000,-08.1700,-00.002232,+00.002473,+00.001361
+113.428,-028.923,+010.313,+1.384,-0.605,+2.558,-04.5730,-01.4880,-08.1530,-00.001833,+00.002975,+00.000383
+113.429,-028.921,+010.310,+1.379,-0.639,+2.536,-04.5890,-01.4790,-08.1200,-00.001507,-00.000208,+00.001664
+113.431,-028.921,+010.306,+1.379,-0.624,+2.526,-04.5930,-01.5020,-08.1550,-00.001777,+00.001507,+00.001727
+113.432,-028.920,+010.303,+1.374,-0.619,+2.536,-04.5900,-01.4760,-08.1450,-00.002972,+00.002376,+00.000576
