Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-130.127,-019.921,+008.294,+0.098,+0.696,+2.384,-03.2190,-01.2660,-08.8040,+00.000707,+00.000682,+00.002194
-130.126,-019.924,+008.293,+0.089,+0.676,+2.356,-03.1720,-01.2670,-08.7810,-00.001444,+00.003873,+00.001637
-130.126,-019.922,+008.294,+0.103,+0.666,+2.406,-03.2240,-01.2960,-08.8090,-00.000505,+00.003029,+00.000044
-130.125,-019.921,+008.295,+0.107,+0.681,+2.379,-03.2030,-01.2600,-08.8010,+00.001287,-00.000010,+00.001275
-130.123,-019.922,+008.295,+0.098,+0.716,+2.351,-03.2100,-01.2890,-08.8010,+00.000719,+00.000478,+00.001750
-130.122,-019.922,+008.295,+0.089,+0.691,+2.389,-03.2160,-01.2960,-08.7770,+00.000009,-00.002161,+00.001354
-130.121,-019.923,+008.295,+0.107,+0.706,+2.373,-03.2500,-01.3060,-08.7840,+00.000315,-00.002274,-00.000166
-130.122,-019.925,+008.297,+0.103,+0.676,+2.379,-03.2160,-01.3010,-08.7910,+00.001559,-00.003650,+00.000823
-130.120,-019.926,+008.298,+0.093,+0.672,+2.411,-03.2150,-01.2670,-08.7740,+00.001512,-00.000788,+00.002719
-130.119,-019.925,+008.298,+0.103,+0.686,+2.379,-03.2110,-01.2760,-08.8120,+00.000554,+00.000394,+00.000532
-130.120,-019.925,+008.301,+0.093,+0.681,+2.367,-03.1980,-01.2650,-08.8090,+00.003108,+00.000199,+00.000752
-130.120,-019.925,+008.303,+0.098,+0.686,+2.400,-03.2170,-01.2700,-08.7670,+00.001797,-00.000134,+00.001121
-130.120,-019.926,+008.305,+0.098,+0.686,+2.351,-03.2250,-01.2740,-08.7800,+00.001703,-00.000721,+00.001856
-130.120,-019.927,+008.307,+0.098,+0.666,+2.368,-03.2240,-01.3070,-08.7780,+00.001369,-00.001783,+00.001584
-130.119,-019.928,+008.307,+0.098,+0.676,+2.400,-03.2250,-01.2820,-08.7700,-00.000164,+00.000532,+00.002278
-130.120,-019.927,+008.306,+0.098,+0.691,+2.373,-03.2070,-01.3200,-08.8010,-00.001377,+00.000457,+00.000662
-130.118,-019.926,+008.304,+0.107,+0.696,+2.357,-03.2340,-01.2940,-08.7820,-00.001277,+00.001504,+00.000801
-130.118,-019.925,+008.302,+0.103,+0.671,+2.384,-03.2110,-01.2780,-08.7990,-00.001287,+00.001966,-00.000577
-130.118,-019.924,+008.300,+0.107,+0.696,+2.352,-03.2380,-01.2850,-08.7690,-00.000187,+00.000898,+00.000737
-130.117,-019.922,+008.299,+0.103,+0.666,+2.373,-03.2060,-01.2600,-08.7860,-00.001025,+00.002421,+00.001220
-130.116,-019.920,+008.296,+0.103,+0.681,+2.406,-03.2110,-01.2770,-08.7920,+00.000002,+00.002315,+00.000809
-130.114,-019.918,+008.296,+0.103,+0.716,+2.362,-03.2240,-01.2860,-08.7420,+00.001529,+00.001976,+00.002138
-130.114,-019.916,+008.295,+0.098,+0.652,+2.379,-03.2060,-01.2700,-08.8150,-00.000329,+00.002338,-00.000099
-130.114,-019.914,+008.295,+0.089,+0.676,+2.394,-03.2250,-01.2770,-08.8290,-00.000118,+00.001718,+00.000538
-130.113,-019.912,+008.295,+0.098,+0.681,+2.373,-03.2190,-01.2910,-08.7900,-00.000559,+00.000422,+00.000602
-130.113,-019.910,+008.296,+0.089,+0.666,+2.367,-03.1960,-01.2860,-08.7570,-00.000340,+00.000335,+00.001457
-130.115,-019.909,+008.295,+0.093,+0.681,+2.400,-03.2130,-01.2690,-08.7530,+00.000601,+00.000619,-00.000009
-130.116,-019.907,+008.296,+0.112,+0.686,+2.374,-03.1890,-01.2800,-08.8110,+00.000156,+00.001512,+00.000989
-130.116,-019.906,+008.297,+0.098,+0.671,+2.357,-03.2230,-01.2700,-08.7850,+00.000185,+00.001792,+00.000227
-130.116,-019.904,+008.299,+0.098,+0.666,+2.384,-03.1960,-01.2830,-08.7440,+00.000296,-00.000056,-00.000065
