Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-091.292,-021.720,+011.460,+0.949,+1.079,+2.422,-03.5360,-01.7030,-08.6280,+00.002750,+00.012359,-00.008338
-091.304,-021.705,+011.472,+0.944,+1.069,+2.422,-03.6150,-01.7020,-08.6160,+00.010020,+00.011819,-00.016264
-091.333,-021.683,+011.503,+0.939,+1.079,+2.443,-03.5640,-01.6800,-08.6430,+00.024995,+00.013772,-00.038075
-091.383,-021.661,+011.565,+0.944,+1.104,+2.405,-03.5310,-01.7230,-08.5810,+00.059245,+00.007637,-00.049734
-091.444,-021.634,+011.640,+0.935,+1.089,+2.432,-03.4630,-01.8030,-08.5900,+00.047721,+00.012082,-00.051972
-091.495,-021.604,+011.710,+0.944,+1.074,+2.438,-03.4090,-01.7910,-08.5960,+00.039846,+00.018078,-00.044009
-091.535,-021.575,+011.770,+0.939,+1.089,+2.427,-03.4690,-01.8210,-08.5900,+00.032886,+00.014061,-00.032996
-091.567,-021.549,+011.813,+0.939,+1.069,+2.422,-03.4020,-01.8410,-08.5820,+00.019596,+00.016053,-00.026799
-091.586,-021.526,+011.837,+0.935,+1.089,+2.443,-03.3330,-01.8400,-08.5940,+00.004181,+00.014821,-00.011792
-091.580,-021.503,+011.826,+0.939,+1.094,+2.400,-03.4840,-01.7730,-08.5890,-00.015642,+00.023728,+00.004606
-091.571,-021.478,+011.807,+0.930,+1.089,+2.432,-03.4670,-01.7690,-08.6210,-00.005318,+00.024112,-00.002995
-091.573,-021.454,+011.808,+0.935,+1.084,+2.448,-03.4930,-01.7400,-08.6240,+00.006979,+00.015784,-00.011644
-091.586,-021.436,+011.827,+0.939,+1.099,+2.416,-03.3640,-01.8410,-08.5950,+00.011584,+00.006355,-00.011286
-091.594,-021.432,+011.846,+0.925,+1.094,+2.432,-03.5040,-01.7680,-08.6250,+00.015583,+00.001269,-00.009711
-091.602,-021.426,+011.861,+0.930,+1.099,+2.453,-03.4660,-01.8020,-08.6680,+00.007200,+00.005186,-00.006058
-091.609,-021.417,+011.872,+0.925,+1.094,+2.410,-03.4150,-01.8670,-08.6190,+00.005449,+00.006082,-00.007752
-091.617,-021.403,+011.880,+0.939,+1.109,+2.421,-03.4880,-01.7530,-08.6350,+00.009205,+00.015762,-00.015978
-091.639,-021.384,+011.906,+0.916,+1.079,+2.437,-03.4290,-01.7600,-08.6390,+00.023598,+00.012665,-00.026549
-091.665,-021.357,+011.942,+0.925,+1.114,+2.426,-03.4290,-01.8070,-08.6560,+00.019507,+00.021077,-00.025589
-091.683,-021.319,+011.966,+0.921,+1.099,+2.421,-03.4260,-01.8220,-08.6190,+00.009921,+00.029864,-00.019102
