Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-057.477,-019.519,+009.657,-0.124,+0.714,+2.520,-03.1260,-01.5090,-08.7650,-00.001092,-00.003535,+00.005599
-057.471,-019.526,+009.653,-0.124,+0.748,+2.492,-03.1710,-01.4750,-08.7970,-00.001667,-00.006013,+00.004316
-057.468,-019.534,+009.651,-0.129,+0.763,+2.476,-03.1830,-01.4880,-08.8020,+00.000100,-00.004872,+00.000744
-057.469,-019.538,+009.652,-0.124,+0.748,+2.503,-03.1860,-01.5040,-08.7640,+00.000075,-00.001758,-00.000579
-057.468,-019.541,+009.650,-0.124,+0.763,+2.503,-03.1610,-01.4940,-08.7580,-00.001703,-00.003505,+00.000978
-057.468,-019.542,+009.648,-0.129,+0.724,+2.503,-03.1480,-01.4820,-08.7500,-00.000787,-00.002031,+00.000390
-057.465,-019.542,+009.650,-0.120,+0.729,+2.509,-03.1400,-01.5220,-08.7870,+00.000965,-00.002270,+00.003271
-057.460,-019.546,+009.648,-0.120,+0.743,+2.487,-03.1370,-01.4770,-08.7610,+00.000954,-00.002954,+00.004163
-057.454,-019.550,+009.646,-0.115,+0.718,+2.488,-03.1520,-01.4760,-08.7800,+00.000104,-00.002467,+00.004163
-057.450,-019.553,+009.648,-0.143,+0.729,+2.502,-03.1200,-01.5210,-08.7590,+00.001532,-00.004041,+00.004292
-057.444,-019.559,+009.646,-0.115,+0.738,+2.493,-03.1940,-01.4680,-08.7690,-00.000474,-00.002163,+00.005993
-057.436,-019.563,+009.644,-0.133,+0.729,+2.498,-03.1560,-01.4870,-08.7760,+00.002277,-00.002671,+00.006171
-057.426,-019.568,+009.642,-0.124,+0.719,+2.498,-03.1570,-01.4680,-08.8060,+00.000795,-00.006246,+00.006887
-057.418,-019.575,+009.641,-0.115,+0.743,+2.493,-03.1650,-01.4700,-08.8060,+00.001644,-00.007564,+00.009273
-057.408,-019.589,+009.638,-0.129,+0.733,+2.481,-03.1720,-01.4370,-08.7570,-00.001993,-00.012086,+00.009574
-057.399,-019.605,+009.633,-0.129,+0.719,+2.514,-03.1890,-01.4670,-08.7790,+00.002137,-00.010479,+00.006305
-057.395,-019.616,+009.635,-0.120,+0.728,+2.498,-03.1550,-01.4870,-08.7620,+00.002060,-00.007688,+00.004630
-057.389,-019.630,+009.636,-0.119,+0.753,+2.503,-03.1740,-01.4960,-08.7720,+00.002529,-00.014686,+00.007590
-057.383,-019.643,+009.638,-0.120,+0.743,+2.493,-03.2010,-01.4490,-08.7420,+00.004415,-00.009304,+00.004915
-057.383,-019.650,+009.644,-0.120,+0.733,+2.498,-03.1520,-01.5490,-08.7940,+00.003212,-00.005170,+00.001349
-057.380,-019.659,+009.647,-0.120,+0.723,+2.482,-03.1870,-01.4790,-08.7680,+00.003045,-00.006278,+00.004309
-057.375,-019.667,+009.646,-0.124,+0.743,+2.509,-03.2480,-01.4580,-08.7820,+00.001629,-00.003020,+00.003035
-057.376,-019.668,+009.646,-0.115,+0.738,+2.504,-03.1380,-01.4950,-08.7660,-00.000004,+00.000415,-00.001264
-057.375,-019.665,+009.648,-0.120,+0.738,+2.487,-03.1450,-01.5320,-08.7870,+00.000477,-00.002151,+00.003919
-057.368,-019.671,+009.643,-0.124,+0.738,+2.487,-03.1960,-01.4730,-08.7830,-00.004190,-00.004545,+00.006504
-057.359,-019.675,+009.635,-0.110,+0.743,+2.504,-03.1840,-01.4400,-08.7700,-00.003614,-00.002214,+00.006554
-057.356,-019.677,+009.630,-0.120,+0.753,+2.460,-03.1680,-01.4840,-08.7390,-00.000210,-00.000889,+00.000569
-057.355,-019.678,+009.628,-0.120,+0.733,+2.503,-03.1610,-01.5050,-08.7380,-00.000410,-00.001174,+00.000863
-057.351,-019.684,+009.631,-0.115,+0.738,+2.487,-03.1740,-01.4960,-08.7360,+00.001785,-00.007283,+00.005039
-057.347,-019.693,+009.632,-0.115,+0.718,+2.482,-03.1950,-01.4770,-08.7530,+00.003466,-00.007342,+00.003054
-057.346,-019.700,+009.635,-0.124,+0.724,+2.514,-03.1860,-01.5030,-08.7490,+00.003662,-00.004958,+00.001643
-057.345,-019.703,+009.637,-0.120,+0.743,+2.476,-03.1700,-01.4920,-08.7850,+00.000827,-00.002350,+00.000777
-057.342,-019.706,+009.639,-0.124,+0.733,+2.471,-03.1750,-01.5030,-08.7770,+00.001673,-00.001053,+00.003273
-057.339,-019.710,+009.639,-0.110,+0.738,+2.515,-03.2030,-01.4600,-08.7550,+00.003056,-00.002090,+00.001769
-057.341,-019.712,+009.640,-0.124,+0.723,+2.476,-03.2170,-01.4950,-08.8040,+00.001313,-00.001288,-00.001539
-057.342,-019.710,+009.643,-0.124,+0.768,+2.487,-03.1950,-01.5300,-08.7480,+00.000524,+00.002687,-00.001042
-057.339,-019.705,+009.643,-0.110,+0.753,+2.498,-03.1800,-01.4670,-08.7550,+00.000204,+00.002705,+00.001533
-057.337,-019.702,+009.640,-0.120,+0.743,+2.482,-03.2020,-01.4470,-08.7750,+00.000081,+00.003265,-00.001706
-057.339,-019.697,+009.640,-0.120,+0.733,+2.482,-03.1950,-01.4880,-08.7670,-00.000577,+00.003283,-00.002949
-057.341,-019.692,+009.640,-0.115,+0.743,+2.504,-03.2000,-01.4860,-08.7650,+00.000386,+00.006225,-00.003704
-057.342,-019.685,+009.639,-0.101,+0.738,+2.488,-03.1990,-01.4950,-08.8220,-00.001392,+00.007282,-00.001889
-057.340,-019.678,+009.636,-0.124,+0.728,+2.487,-03.1960,-01.4640,-08.7540,-00.001198,+00.003774,-00.002122
-057.340,-019.673,+009.635,-0.124,+0.758,+2.498,-03.1700,-01.5020,-08.7590,-00.000154,+00.004558,-00.002634
