Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-026.462,-020.950,+007.826,+1.127,-0.612,+2.531,-03.3870,-01.2020,-08.7110,+00.000070,+00.002637,+00.001924
-026.461,-020.949,+007.824,+1.137,-0.628,+2.531,-03.3620,-01.2080,-08.7320,+00.001339,+00.000621,+00.002507
-026.460,-020.947,+007.823,+1.127,-0.617,+2.553,-03.3650,-01.1950,-08.7390,+00.000532,+00.003050,+00.002164
-026.458,-020.944,+007.823,+1.132,-0.598,+2.526,-03.3660,-01.2030,-08.7580,+00.001453,+00.001970,+00.001064
-026.460,-020.939,+007.824,+1.132,-0.608,+2.542,-03.3410,-01.2150,-08.7630,+00.000937,+00.004323,+00.000984
-026.458,-020.935,+007.824,+1.132,-0.617,+2.564,-03.3620,-01.2020,-08.7280,+00.001257,+00.002841,+00.002793
-026.456,-020.935,+007.823,+1.123,-0.592,+2.547,-03.4010,-01.1890,-08.7340,+00.000243,+00.002297,+00.002333
-026.456,-020.933,+007.822,+1.137,-0.597,+2.564,-03.3810,-01.1990,-08.7380,-00.000215,+00.000408,+00.000343
-026.457,-020.933,+007.823,+1.132,-0.607,+2.575,-03.3740,-01.2010,-08.7520,+00.001684,+00.000079,+00.001586
-026.457,-020.933,+007.825,+1.132,-0.608,+2.537,-03.3420,-01.2090,-08.7410,+00.001803,+00.001202,+00.002448
-026.457,-020.934,+007.827,+1.132,-0.617,+2.537,-03.4490,-01.3090,-08.6820,+00.003717,+00.000656,+00.002310
-026.454,-020.931,+007.826,+1.127,-0.617,+2.569,-03.4080,-01.1930,-08.7660,+00.001554,+00.003875,+00.003937
-026.452,-020.929,+007.826,+1.132,-0.598,+2.547,-03.3880,-01.1840,-08.7550,+00.002147,+00.000261,+00.001567
-026.452,-020.928,+007.829,+1.127,-0.607,+2.558,-03.3690,-01.2550,-08.7470,+00.002739,+00.000595,+00.002047
-026.451,-020.928,+007.831,+1.127,-0.627,+2.564,-03.3660,-01.2030,-08.7760,+00.002595,-00.003562,+00.005043
-026.451,-020.950,+007.829,+1.137,-0.598,+2.520,-03.3880,-01.1760,-08.7780,+00.002274,+00.008263,+00.003066
-026.448,-020.947,+007.829,+1.118,-0.607,+2.525,-03.3720,-01.2320,-08.7590,+00.002060,+00.002451,+00.002716
-026.446,-020.944,+007.831,+1.137,-0.617,+2.569,-03.3830,-01.1750,-08.7220,+00.004405,+00.001524,+00.001998
-026.445,-020.942,+007.833,+1.127,-0.588,+2.542,-03.3650,-01.2160,-08.7380,+00.003228,+00.002973,+00.003695
-026.440,-020.940,+007.840,+1.132,-0.612,+2.547,-03.4130,-01.2590,-08.7530,+00.017097,+00.002744,+00.005983
-026.438,-020.940,+007.848,+1.132,-0.637,+2.559,-03.4050,-01.1870,-08.7700,+00.013304,+00.000910,+00.002059
-026.439,-020.942,+007.862,+1.132,-0.597,+2.558,-03.3930,-01.1950,-08.7600,+00.013558,-00.003641,+00.001148
-026.440,-020.945,+007.874,+1.127,-0.607,+2.542,-03.3810,-01.2080,-08.7560,+00.009511,-00.002477,+00.001880
-026.441,-020.950,+007.884,+1.132,-0.622,+2.575,-03.3860,-01.2030,-08.7590,+00.010452,-00.004569,+00.000291
-026.444,-020.955,+007.900,+1.137,-0.603,+2.537,-03.3610,-01.2000,-08.7020,+00.013480,-00.003334,+00.000074
-026.447,-020.956,+007.912,+1.132,-0.627,+2.548,-03.3740,-01.1990,-08.7160,+00.009570,-00.001088,-00.001331
-026.448,-020.954,+007.917,+1.127,-0.612,+2.558,-03.3840,-01.2450,-08.7780,+00.004075,+00.003451,+00.001666
-026.445,-020.948,+007.918,+1.132,-0.568,+2.558,-03.3580,-01.2100,-08.7650,+00.001689,+00.004979,+00.002977
-026.442,-020.947,+007.920,+1.118,-0.602,+2.536,-03.3870,-01.2300,-08.7610,+00.003370,+00.000224,+00.003101
-026.440,-020.949,+007.923,+1.137,-0.622,+2.564,-03.3750,-01.2200,-08.7390,+00.002838,-00.000347,+00.003035
-026.440,-020.947,+007.925,+1.132,-0.598,+2.553,-03.3850,-01.2320,-08.7380,+00.002158,+00.003174,+00.001904
-026.441,-020.959,+007.922,+1.137,-0.578,+2.537,-03.3760,-01.2620,-08.6060,-00.008118,-00.045558,+00.002585
-026.439,-020.980,+007.917,+1.127,-0.622,+2.553,-03.3560,-01.1850,-08.7140,+00.000575,+00.004341,+00.005637
-026.438,-020.980,+007.917,+1.127,-0.598,+2.536,-03.4040,-01.1980,-08.7320,+00.001687,-00.000082,+00.000011
