Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-161.283,-027.073,-007.224,+0.101,-0.266,+2.527,-04.2930,+01.0640,-08.3870,+00.001892,+00.000435,+00.002102
-161.280,-027.073,-007.225,+0.092,-0.256,+2.543,-04.3130,+01.0570,-08.3740,+00.000225,-00.001582,-00.000189
-161.278,-027.076,-007.223,+0.096,-0.241,+2.516,-04.3290,+01.0500,-08.3600,+00.001755,-00.001522,+00.001396
-161.271,-027.076,-007.220,+0.106,-0.271,+2.517,-04.3130,+01.1020,-08.4060,+00.002815,+00.002946,+00.004950
-161.266,-027.072,-007.216,+0.106,-0.266,+2.527,-04.3250,+01.0320,-08.3540,+00.004933,+00.004131,+00.003293
-161.265,-027.067,-007.209,+0.096,-0.281,+2.522,-04.3090,+01.0800,-08.3700,+00.007403,+00.000514,-00.000620
-161.270,-027.063,-007.197,+0.096,-0.286,+2.516,-04.3050,+01.0390,-08.3630,+00.009173,+00.005176,-00.003828
-161.275,-027.058,-007.184,+0.096,-0.241,+2.521,-04.3170,+01.0280,-08.3770,+00.008947,+00.005231,-00.002566
-161.280,-027.054,-007.171,+0.096,-0.266,+2.527,-04.3030,+01.0260,-08.3760,+00.007672,+00.003062,-00.002755
-161.283,-027.051,-007.162,+0.106,-0.266,+2.527,-04.3260,+01.0350,-08.3990,+00.003962,+00.002902,-00.001642
-161.287,-027.048,-007.156,+0.096,-0.261,+2.538,-04.2980,+01.0330,-08.3560,+00.002123,+00.002126,-00.002048
-161.290,-027.048,-007.151,+0.106,-0.266,+2.522,-04.3340,+01.0000,-08.3950,+00.001353,+00.000460,-00.003354
-161.291,-027.047,-007.148,+0.092,-0.251,+2.532,-04.3450,+01.0380,-08.3650,+00.002564,+00.003654,+00.000798
-161.290,-027.041,-007.145,+0.096,-0.261,+2.532,-04.2770,+01.0920,-08.3660,+00.000674,+00.005444,+00.001811
-161.291,-027.035,-007.142,+0.101,-0.296,+2.527,-04.3010,+01.0390,-08.3950,+00.001336,+00.006083,+00.000003
-161.292,-027.031,-007.140,+0.101,-0.281,+2.533,-04.2940,+01.0170,-08.3780,+00.000666,+00.006585,-00.001626
-161.295,-027.026,-007.136,+0.101,-0.261,+2.549,-04.3230,+01.0250,-08.3960,+00.002479,+00.005153,-00.000402
-161.298,-027.019,-007.131,+0.092,-0.266,+2.521,-04.3070,+01.0370,-08.3810,+00.002783,+00.007043,-00.003062
-161.303,-027.013,-007.125,+0.106,-0.256,+2.511,-04.2750,+01.0480,-08.3850,+00.001708,+00.005831,-00.004266
-161.311,-027.009,-007.119,+0.106,-0.261,+2.522,-04.2980,+01.0570,-08.3790,+00.001559,+00.001273,-00.006072
-161.314,-027.007,-007.115,+0.106,-0.286,+2.539,-04.3030,+01.0230,-08.3720,+00.000437,+00.000312,-00.000464
-161.314,-027.006,-007.115,+0.101,-0.246,+2.522,-04.2910,+01.0710,-08.3640,-00.001969,+00.000080,+00.000886
-161.314,-027.010,-007.116,+0.101,-0.261,+2.544,-04.3240,+01.0120,-08.3770,-00.003477,-00.004485,-00.000887
-161.313,-027.019,-007.123,+0.096,-0.271,+2.522,-04.3000,+01.0350,-08.3920,-00.005949,-00.009949,+00.001207
-161.306,-027.029,-007.133,+0.096,-0.261,+2.527,-04.3210,+01.0480,-08.3780,-00.005094,-00.009836,+00.004540
-161.301,-027.035,-007.138,+0.106,-0.246,+2.527,-04.3090,+01.0600,-08.4040,-00.000937,-00.003037,+00.001621
-161.301,-027.037,-007.133,+0.096,-0.271,+2.527,-04.3390,+00.9820,-08.3910,+00.004499,+00.000622,-00.002016
-161.308,-027.030,-007.120,+0.092,-0.271,+2.516,-04.3150,+01.0680,-08.4130,+00.009658,+00.009800,-00.007324
-161.324,-027.019,-007.100,+0.101,-0.266,+2.549,-04.2960,+01.0540,-08.3750,+00.011935,+00.012918,-00.011630
-161.344,-027.007,-007.077,+0.110,-0.286,+2.533,-04.3270,+01.0150,-08.3940,+00.012013,+00.014661,-00.012534
-161.362,-026.992,-007.055,+0.101,-0.281,+2.533,-04.3240,+01.0330,-08.4000,+00.011876,+00.017025,-00.011233
-161.380,-026.977,-007.034,+0.096,-0.251,+2.543,-04.3120,+01.0280,-08.3700,+00.010507,+00.014068,-00.014039
-161.401,-026.964,-007.013,+0.101,-0.276,+2.527,-04.2950,+00.9890,-08.3900,+00.008297,+00.010731,-00.012713
-161.417,-026.951,-006.995,+0.092,-0.271,+2.516,-04.2810,+00.9830,-08.4130,+00.005659,+00.012730,-00.007856
-161.426,-026.941,-006.986,+0.096,-0.256,+2.532,-04.3050,+01.0000,-08.3680,+00.002427,+00.008141,-00.004919
-161.435,-026.934,-006.981,+0.101,-0.251,+2.538,-04.2830,+01.0060,-08.4030,-00.002368,+00.004357,-00.005735
-161.441,-026.930,-006.983,+0.092,-0.266,+2.505,-04.2510,+01.0290,-08.4050,-00.006210,+00.002249,-00.004320
-161.443,-026.933,-006.989,+0.096,-0.256,+2.532,-04.2900,+00.9970,-08.4230,-00.007056,-00.000032,+00.000781
-161.437,-026.929,-007.000,+0.110,-0.271,+2.511,-04.2960,+01.0500,-08.3870,-00.008445,+00.004293,+00.007011
-161.429,-026.925,-007.014,+0.082,-0.256,+2.521,-04.2780,+01.0560,-08.3600,-00.007572,+00.001885,+00.004727
-161.425,-026.927,-007.026,+0.087,-0.226,+2.543,-04.2980,+01.0160,-08.3640,-00.008315,-00.002669,+00.001759
-161.423,-026.930,-007.038,+0.096,-0.286,+2.516,-04.2830,+01.0350,-08.4080,-00.010066,-00.005733,-00.000566
-161.422,-026.936,-007.049,+0.101,-0.261,+2.527,-04.2880,+01.0500,-08.4070,-00.010645,-00.007532,+00.002720
-161.417,-026.944,-007.062,+0.101,-0.256,+2.544,-04.3230,+01.0080,-08.3620,-00.008597,-00.007140,+00.002498
-161.414,-026.948,-007.070,+0.087,-0.266,+2.521,-04.2600,+01.0270,-08.3790,-00.003530,-00.005974,-00.001784
-161.416,-026.955,-007.074,+0.101,-0.266,+2.522,-04.2750,+01.0650,-08.4080,-00.003735,-00.005451,-00.002651
-161.419,-026.962,-007.078,+0.101,-0.256,+2.549,-04.2810,+01.0330,-08.3620,-00.004179,-00.006755,-00.001836
-161.418,-026.968,-007.084,+0.101,-0.281,+2.538,-04.2690,+01.0330,-08.3980,-00.005457,-00.008469,+00.000322
-161.416,-026.975,-007.090,+0.092,-0.271,+2.532,-04.3160,+01.0460,-08.3710,-00.003205,-00.003826,+00.001670
-161.412,-026.980,-007.093,+0.101,-0.256,+2.538,-04.3210,+01.0510,-08.3930,+00.000383,-00.001630,+00.002205
-161.409,-026.979,-007.093,+0.096,-0.281,+2.511,-04.3390,+01.0430,-08.3600,+00.003839,+00.003044,-00.000672
-161.412,-026.976,-007.086,+0.101,-0.271,+2.522,-04.2960,+01.0500,-08.3770,+00.005749,+00.004391,-00.002819
-161.416,-026.976,-007.077,+0.101,-0.256,+2.516,-04.2810,+01.0220,-08.3640,+00.004988,-00.002876,-00.003158
-161.419,-026.981,-007.070,+0.110,-0.271,+2.533,-04.2990,+01.0410,-08.3950,+00.003762,-00.003441,-00.003286
-161.420,-026.986,-007.061,+0.101,-0.241,+2.527,-04.3230,+01.0170,-08.4000,+00.005664,-00.003010,-00.001798
-161.418,-026.987,-007.055,+0.096,-0.271,+2.554,-04.3120,+01.0690,-08.3940,+00.006435,+00.002717,+00.000512
-161.421,-026.983,-007.046,+0.101,-0.271,+2.527,-04.3150,+01.0350,-08.4040,+00.007636,+00.003831,-00.002205
-161.423,-026.982,-007.037,+0.101,-0.236,+2.511,-04.3140,+01.0270,-08.4030,+00.006080,+00.000438,-00.000579
-161.425,-026.983,-007.030,+0.106,-0.241,+2.538,-04.2890,+01.0130,-08.3860,+00.003825,-00.003416,-00.001074
-161.426,-026.989,-007.023,+0.101,-0.276,+2.516,-04.3120,+01.0330,-08.3930,+00.003030,-00.004271,+00.000078
-161.426,-026.991,-007.018,+0.106,-0.241,+2.516,-04.3100,+01.0170,-08.3850,+00.005627,+00.000482,-00.000344
-161.426,-026.986,-007.011,+0.101,-0.231,+2.505,-04.2930,+01.0270,-08.3760,+00.007500,+00.003872,+00.000423
-161.431,-026.985,-007.001,+0.092,-0.256,+2.527,-04.2730,+01.0350,-08.3800,+00.008147,-00.000718,-00.006001
-161.438,-026.987,-006.987,+0.101,-0.256,+2.522,-04.2930,+00.9940,-08.3630,+00.007192,-00.001719,-00.004940
-161.443,-026.992,-006.976,+0.092,-0.251,+2.527,-04.2810,+00.9920,-08.3660,+00.006318,-00.001881,-00.003432
-161.447,-026.994,-006.965,+0.101,-0.271,+2.516,-04.3080,+01.0060,-08.3830,+00.008124,-00.000071,-00.002956
-161.452,-026.993,-006.953,+0.096,-0.261,+2.522,-04.3030,+01.0090,-08.3650,+00.007681,+00.003223,-00.005092
