Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+160.239,-018.531,+005.896,-0.140,+0.401,+2.593,-03.0110,-00.9210,-08.8480,+00.011895,-00.000206,-00.006023
+160.230,-018.530,+005.913,-0.138,+0.378,+2.604,-03.0030,-00.9290,-08.9090,+00.014017,+00.001687,-00.006566
+160.222,-018.530,+005.929,-0.133,+0.398,+2.599,-03.0010,-00.9700,-08.9230,+00.009333,-00.000006,-00.004315
+160.217,-018.528,+005.938,-0.140,+0.391,+2.583,-03.0080,-00.9550,-08.8820,+00.004584,+00.000689,-00.001834
+160.212,-018.526,+005.944,-0.147,+0.379,+2.604,-03.0140,-00.9070,-08.8960,+00.004822,+00.002258,-00.004805
+160.204,-018.524,+005.952,-0.133,+0.413,+2.577,-03.0210,-00.9550,-08.9220,+00.003947,+00.000635,-00.006900
+160.197,-018.520,+005.958,-0.131,+0.398,+2.588,-03.0030,-00.9280,-08.8720,+00.002563,+00.004140,-00.006268
+160.191,-018.515,+005.962,-0.129,+0.398,+2.605,-02.9690,-00.9360,-08.8820,+00.000195,+00.004115,-00.002924
+160.190,-018.512,+005.961,-0.133,+0.413,+2.583,-03.0140,-00.9430,-08.9110,-00.001512,+00.002851,-00.001083
+160.190,-018.510,+005.958,-0.136,+0.383,+2.583,-03.0090,-00.9430,-08.8880,-00.003078,-00.000415,+00.002373
+160.194,-018.509,+005.953,-0.129,+0.408,+2.610,-02.9970,-00.8800,-08.9000,-00.002420,-00.000959,+00.001653
+160.194,-018.511,+005.953,-0.138,+0.438,+2.582,-02.9760,-00.9150,-08.9040,+00.001385,-00.000408,-00.000183
+160.194,-018.511,+005.954,-0.143,+0.398,+2.591,-02.9820,-00.9400,-08.8830,+00.000893,-00.000565,+00.002491
+160.196,-018.512,+005.955,-0.134,+0.378,+2.605,-03.0090,-00.9290,-08.8940,+00.000112,-00.001056,+00.002773
+160.201,-018.513,+005.953,-0.133,+0.403,+2.599,-03.0060,-00.9440,-08.9080,-00.000702,-00.001878,+00.005671
+160.208,-018.515,+005.949,-0.136,+0.401,+2.580,-02.9650,-00.9270,-08.9060,-00.000203,-00.002057,+00.006471
+160.214,-018.519,+005.948,-0.133,+0.383,+2.610,-03.0110,-00.9660,-08.9190,+00.001109,-00.004793,+00.004474
+160.218,-018.524,+005.948,-0.129,+0.388,+2.589,-02.9840,-00.9180,-08.8770,+00.000930,-00.003534,+00.002365
+160.219,-018.528,+005.947,-0.129,+0.400,+2.578,-03.0030,-00.9180,-08.9150,+00.001502,-00.003879,+00.000213
+160.221,-018.531,+005.948,-0.134,+0.383,+2.583,-03.0000,-00.9680,-08.8750,+00.000184,-00.002544,+00.000906
+160.223,-018.533,+005.947,-0.129,+0.408,+2.578,-03.0160,-00.9240,-08.9340,-00.000161,-00.000195,+00.003543
+160.227,-018.535,+005.946,-0.127,+0.405,+2.589,-02.9810,-00.9390,-08.9210,-00.001485,-00.000715,+00.003699
+160.230,-018.535,+005.944,-0.133,+0.378,+2.610,-03.0030,-00.9120,-08.8760,-00.001760,-00.000271,+00.004078
+160.233,-018.536,+005.941,-0.133,+0.403,+2.583,-03.0210,-00.9310,-08.9140,-00.000557,-00.000806,+00.001973
+160.232,-018.537,+005.941,-0.138,+0.396,+2.588,-03.0110,-00.9210,-08.9290,-00.000073,+00.000267,-00.000344
+160.232,-018.536,+005.940,-0.138,+0.388,+2.588,-03.0070,-00.9030,-08.8850,+00.000048,+00.001046,-00.000382
+160.232,-018.535,+005.941,-0.129,+0.442,+2.572,-03.0010,-00.9390,-08.9010,-00.001393,+00.001088,+00.000606
+160.233,-018.534,+005.942,-0.131,+0.388,+2.570,-02.9930,-00.9550,-08.9010,-00.000473,+00.000029,+00.001736
+160.235,-018.534,+005.940,-0.143,+0.393,+2.604,-03.0020,-00.9580,-08.8750,-00.001819,+00.000078,+00.001866
+160.237,-018.534,+005.938,-0.133,+0.408,+2.594,-02.9950,-00.9170,-08.9050,-00.001702,-00.000495,+00.001627
+160.238,-018.534,+005.936,-0.133,+0.410,+2.569,-02.9960,-00.9070,-08.8970,+00.000665,-00.000109,-00.000112
+160.239,-018.536,+005.934,-0.147,+0.393,+2.604,-03.0000,-00.9200,-08.8900,+00.000886,-00.003074,+00.000461
+160.239,-018.535,+005.935,-0.138,+0.393,+2.599,-02.9870,-00.9410,-08.9070,+00.000236,-00.000356,+00.002236
+160.240,-018.536,+005.935,-0.131,+0.391,+2.570,-02.9770,-00.9310,-08.8760,-00.000267,-00.000807,+00.001997
+160.244,-018.539,+005.931,-0.129,+0.388,+2.594,-03.0350,-00.9030,-08.8920,-00.001492,-00.000988,+00.001696
+160.245,-018.540,+005.931,-0.133,+0.403,+2.583,-02.9800,-00.9270,-08.9010,+00.000214,-00.002143,+00.001450
+160.244,-018.542,+005.932,-0.136,+0.391,+2.569,-03.0060,-00.9350,-08.9160,+00.002211,-00.002076,+00.000175
+160.245,-018.543,+005.934,-0.138,+0.383,+2.594,-03.0230,-00.9380,-08.8750,+00.000667,-00.002295,+00.001245
+160.245,-018.545,+005.935,-0.129,+0.398,+2.594,-03.0070,-00.9430,-08.8980,+00.000961,-00.000839,+00.002012
+160.243,-018.548,+005.938,-0.131,+0.408,+2.583,-03.0290,-00.9430,-08.8650,+00.002059,+00.000444,-00.001585
+160.242,-018.548,+005.940,-0.138,+0.423,+2.593,-03.0100,-00.9150,-08.8790,+00.000420,+00.000368,-00.001408
+160.241,-018.547,+005.942,-0.138,+0.413,+2.599,-02.9900,-00.9330,-08.8700,+00.001652,+00.002322,-00.000161
+160.240,-018.544,+005.944,-0.143,+0.398,+2.583,-03.0120,-00.9250,-08.8750,+00.001533,+00.001275,-00.000247
+160.238,-018.541,+005.948,-0.138,+0.379,+2.615,-02.9840,-00.9360,-08.9090,+00.001077,+00.002178,-00.001714
+160.235,-018.539,+005.950,-0.133,+0.413,+2.588,-02.9950,-00.9310,-08.8980,+00.001367,+00.002197,-00.002267
+160.233,-018.536,+005.953,-0.133,+0.401,+2.588,-03.0080,-00.9330,-08.8690,-00.000581,+00.000526,+00.000099
+160.232,-018.536,+005.953,-0.124,+0.373,+2.594,-02.9840,-00.9630,-08.8800,-00.002623,+00.000273,+00.000545
+160.232,-018.536,+005.950,-0.134,+0.388,+2.567,-02.9630,-00.8970,-08.8950,-00.000343,-00.001784,-00.000088
+160.233,-018.535,+005.950,-0.133,+0.401,+2.588,-02.9940,-00.9440,-08.9360,-00.002761,+00.000892,+00.003870
+160.235,-018.535,+005.945,-0.129,+0.398,+2.605,-02.9930,-00.9240,-08.9330,-00.003894,-00.001041,+00.002591
+160.237,-018.536,+005.940,-0.129,+0.403,+2.594,-02.9920,-00.9260,-08.8750,-00.004463,-00.000213,+00.002989
+160.240,-018.538,+005.934,-0.136,+0.393,+2.577,-03.0300,-00.9520,-08.8540,-00.005366,-00.000249,+00.004635
+160.243,-018.537,+005.928,-0.120,+0.393,+2.611,-03.0050,-00.9060,-08.8760,-00.003325,+00.001188,+00.001931
+160.247,-018.537,+005.921,-0.124,+0.418,+2.578,-02.9950,-00.8960,-08.8820,-00.002406,+00.000103,+00.001290
