Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+176.453,-017.549,+005.798,-0.169,+0.473,+2.552,-02.8450,-00.9090,-08.9840,+00.001375,-00.000756,+00.000336
+176.452,-017.551,+005.800,-0.164,+0.464,+2.573,-02.8480,-00.9080,-08.9320,+00.002321,-00.002102,-00.001660
+176.453,-017.553,+005.800,-0.155,+0.493,+2.590,-02.8660,-00.8960,-08.9570,+00.002236,-00.001907,-00.000398
+176.456,-017.553,+005.800,-0.160,+0.483,+2.541,-02.8290,-00.9060,-08.9490,+00.001181,-00.002008,+00.000897
+176.457,-017.554,+005.800,-0.162,+0.473,+2.581,-02.8590,-00.8930,-08.9370,+00.000862,-00.000079,+00.000388
+176.456,-017.556,+005.801,-0.169,+0.454,+2.584,-02.8500,-00.9180,-08.9470,+00.000066,-00.001613,+00.000310
+176.455,-017.558,+005.801,-0.160,+0.464,+2.568,-02.8450,-00.9110,-08.9380,-00.001816,-00.000698,-00.000026
+176.456,-017.558,+005.800,-0.160,+0.461,+2.571,-02.8430,-00.9250,-08.9470,-00.002057,-00.000581,+00.001839
+176.459,-017.557,+005.796,-0.160,+0.454,+2.590,-02.8150,-00.9000,-08.9560,-00.002222,+00.001213,+00.003204
+176.461,-017.557,+005.792,-0.150,+0.473,+2.590,-02.8710,-00.9110,-08.9700,-00.003064,-00.000345,+00.001487
+176.463,-017.558,+005.787,-0.160,+0.471,+2.560,-02.8500,-00.9000,-08.9490,-00.003708,-00.001632,+00.000667
+176.466,-017.559,+005.782,-0.155,+0.459,+2.595,-02.8610,-00.9010,-08.9470,-00.001885,-00.000478,+00.002911
+176.470,-017.561,+005.779,-0.164,+0.503,+2.573,-02.8580,-00.9170,-08.9810,-00.002801,-00.001351,+00.003502
+176.472,-017.563,+005.777,-0.164,+0.466,+2.573,-02.8490,-00.9040,-08.9790,+00.000086,+00.000348,+00.002110
+176.473,-017.564,+005.776,-0.169,+0.483,+2.595,-02.8560,-00.9200,-08.9830,-00.000423,+00.000744,+00.000426
+176.475,-017.564,+005.776,-0.164,+0.488,+2.568,-02.8430,-00.9380,-08.9160,-00.000877,+00.001055,+00.001907
+176.477,-017.563,+005.775,-0.160,+0.461,+2.582,-02.8470,-00.9040,-08.9730,-00.000055,+00.001139,+00.001593
+176.477,-017.562,+005.776,-0.164,+0.478,+2.595,-02.8230,-00.9020,-08.9780,+00.001773,+00.000219,+00.000929
+176.477,-017.563,+005.778,-0.164,+0.459,+2.584,-02.8550,-00.8900,-08.9760,+00.001940,-00.001484,+00.000492
+176.476,-017.564,+005.781,-0.164,+0.488,+2.576,-02.8350,-00.9390,-08.9560,+00.002343,-00.001454,+00.000187
+176.476,-017.566,+005.785,-0.164,+0.449,+2.579,-02.8510,-00.8940,-08.9380,+00.002019,-00.000889,+00.000466
+176.475,-017.567,+005.787,-0.173,+0.478,+2.578,-02.8590,-00.9180,-08.9800,+00.001816,-00.000417,-00.001313
+176.475,-017.567,+005.792,-0.162,+0.468,+2.565,-02.8480,-00.9210,-08.9530,+00.004187,-00.000812,-00.000809
+176.474,-017.566,+005.795,-0.169,+0.474,+2.600,-02.8650,-00.9200,-08.9600,+00.002898,+00.000267,-00.000029
+176.472,-017.565,+005.801,-0.164,+0.488,+2.584,-02.8300,-00.9160,-08.9580,+00.002678,+00.000485,-00.001811
+176.471,-017.565,+005.805,-0.160,+0.486,+2.568,-02.8570,-00.9220,-08.9420,+00.001721,+00.001904,-00.001207
+176.472,-017.563,+005.807,-0.169,+0.454,+2.600,-02.8270,-00.9160,-08.9660,+00.001926,+00.001371,+00.000707
+176.472,-017.560,+005.809,-0.160,+0.483,+2.573,-02.8500,-00.9120,-08.9720,+00.001002,+00.000637,-00.000214
+176.471,-017.559,+005.810,-0.171,+0.478,+2.560,-02.8650,-00.9000,-08.9620,+00.000242,+00.001073,-00.000675
+176.467,-017.559,+005.813,-0.169,+0.449,+2.584,-02.8730,-00.9070,-08.9580,+00.003744,+00.000891,-00.004029
+176.462,-017.557,+005.819,-0.164,+0.483,+2.584,-02.8370,-00.9140,-08.9540,+00.002436,+00.001388,-00.003185
+176.458,-017.556,+005.824,-0.164,+0.476,+2.565,-02.8620,-00.9310,-08.9440,+00.001090,+00.000903,-00.002132
+176.457,-017.554,+005.828,-0.160,+0.478,+2.595,-02.8330,-00.9250,-08.9820,+00.002440,+00.001442,-00.001607
+176.453,-017.553,+005.831,-0.164,+0.454,+2.584,-02.8470,-00.9210,-08.9600,+00.000997,+00.000860,-00.002535
+176.449,-017.551,+005.834,-0.166,+0.474,+2.581,-02.8350,-00.9030,-08.9340,+00.000299,+00.000641,-00.003457
+176.447,-017.550,+005.835,-0.173,+0.454,+2.589,-02.8430,-00.8880,-08.9390,+00.001443,+00.000508,-00.002768
+176.445,-017.547,+005.837,-0.160,+0.483,+2.579,-02.8350,-00.9110,-08.9370,+00.002553,+00.001339,-00.002482
+176.441,-017.544,+005.841,-0.157,+0.463,+2.560,-02.8340,-00.9260,-08.9560,+00.001936,+00.001124,-00.003387
+176.438,-017.541,+005.844,-0.169,+0.479,+2.600,-02.8290,-00.8940,-08.9450,-00.000073,+00.001061,-00.001939
+176.436,-017.539,+005.842,-0.169,+0.469,+2.579,-02.8300,-00.9180,-08.9920,-00.002037,-00.001648,-00.001188
+176.434,-017.537,+005.841,-0.162,+0.469,+2.579,-02.8270,-00.9360,-08.9160,-00.003407,-00.001009,-00.000690
+176.434,-017.536,+005.837,-0.160,+0.469,+2.590,-02.8120,-00.9520,-08.9590,-00.002715,+00.000640,-00.000045
+176.436,-017.537,+005.833,-0.164,+0.493,+2.573,-02.8250,-00.9300,-08.9220,-00.003315,-00.000285,+00.001229
+176.435,-017.538,+005.830,-0.164,+0.461,+2.576,-02.8490,-00.9000,-08.9290,-00.002559,-00.000548,-00.000454
+176.435,-017.537,+005.827,-0.160,+0.464,+2.606,-02.8430,-00.9220,-08.9610,-00.003108,+00.000732,-00.000321
+176.435,-017.536,+005.824,-0.164,+0.464,+2.579,-02.8220,-00.9260,-08.9560,-00.003213,+00.000771,-00.000429
+176.434,-017.536,+005.820,-0.162,+0.481,+2.568,-02.8420,-00.9030,-08.9100,-00.001771,+00.001491,-00.000192
