Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+152.910,-021.179,-006.602,-0.127,+0.003,+2.600,-03.4200,+01.0200,-08.7870,+00.003006,-00.002870,-00.004438
+152.907,-021.184,-006.596,-0.132,+0.068,+2.566,-03.4560,+01.0460,-08.7920,+00.007285,-00.004855,-00.002385
+152.904,-021.188,-006.589,-0.132,+0.013,+2.561,-03.4270,+01.0180,-08.7680,+00.004865,-00.002705,-00.002584
+152.900,-021.191,-006.581,-0.141,+0.023,+2.604,-03.4460,+00.9840,-08.7920,+00.004017,-00.000013,-00.003450
+152.897,-021.195,-006.577,-0.127,+0.033,+2.594,-03.4500,+01.0170,-08.7500,+00.001573,-00.001551,-00.003358
+152.895,-021.200,-006.574,-0.146,+0.028,+2.572,-03.4190,+01.0290,-08.7660,+00.002284,-00.003419,-00.000317
+152.897,-021.204,-006.575,-0.141,+0.023,+2.604,-03.4000,+00.9890,-08.7390,-00.002196,-00.003072,+00.004144
+152.902,-021.205,-006.582,-0.132,+0.033,+2.588,-03.4240,+00.9500,-08.7610,-00.007323,-00.001228,+00.006660
+152.911,-021.203,-006.594,-0.141,+0.023,+2.594,-03.4200,+01.0010,-08.7680,-00.008901,+00.003813,+00.010520
+152.924,-021.199,-006.607,-0.132,+0.043,+2.577,-03.4400,+01.0310,-08.7520,-00.005266,+00.004768,+00.010308
+152.933,-021.191,-006.612,-0.127,+0.048,+2.578,-03.3830,+01.0130,-08.7450,+00.001390,+00.004985,+00.005432
+152.939,-021.187,-006.612,-0.136,+0.023,+2.594,-03.4290,+00.9790,-08.7720,+00.000865,+00.004537,+00.004201
+152.942,-021.180,-006.611,-0.127,+0.018,+2.589,-03.4310,+01.0140,-08.7930,+00.000542,+00.005326,+00.003374
+152.946,-021.171,-006.615,-0.132,+0.058,+2.556,-03.4290,+01.0220,-08.7940,-00.001841,+00.009512,+00.004808
+152.951,-021.162,-006.617,-0.132,+0.018,+2.578,-03.4090,+01.0120,-08.7850,-00.001869,+00.006598,+00.005089
+152.958,-021.153,-006.620,-0.132,+0.018,+2.578,-03.4190,+01.0200,-08.7590,-00.000435,+00.006025,+00.005920
+152.965,-021.145,-006.623,-0.132,+0.043,+2.577,-03.4210,+01.0210,-08.7460,+00.000211,+00.008254,+00.006711
+152.971,-021.136,-006.623,-0.136,+0.018,+2.556,-03.4510,+00.9890,-08.7370,-00.000590,+00.009432,+00.006876
+152.977,-021.124,-006.625,-0.136,+0.028,+2.594,-03.4210,+00.9940,-08.7820,-00.000069,+00.010129,+00.005414
+152.980,-021.111,-006.619,-0.136,+0.028,+2.572,-03.3930,+00.9820,-08.7480,+00.009011,+00.009740,+00.002260
+152.973,-021.100,-006.597,-0.136,+0.048,+2.583,-03.4310,+00.9340,-08.7690,+00.011386,+00.009647,-00.004518
+152.966,-021.090,-006.580,-0.136,+0.018,+2.599,-03.3970,+00.9930,-08.7720,+00.010077,+00.006138,-00.004621
+152.960,-021.081,-006.570,-0.132,+0.028,+2.583,-03.4040,+01.0400,-08.7520,+00.004440,+00.006770,-00.002223
+152.958,-021.073,-006.564,-0.146,+0.018,+2.572,-03.3870,+01.0280,-08.7670,+00.004564,+00.005418,-00.000303
+152.958,-021.066,-006.560,-0.132,+0.038,+2.594,-03.3860,+01.0500,-08.7740,+00.006236,+00.004875,+00.002040
+152.959,-021.061,-006.551,-0.141,+0.028,+2.577,-03.3980,+01.0140,-08.7530,+00.009867,+00.005132,+00.000969
+152.958,-021.056,-006.541,-0.141,+0.023,+2.594,-03.3940,+01.0090,-08.7480,+00.006701,+00.005787,+00.001762
+152.961,-021.051,-006.537,-0.136,+0.038,+2.594,-03.3830,+00.9900,-08.7790,+00.005981,+00.004304,+00.002764
+152.964,-021.048,-006.535,-0.136,+0.043,+2.583,-03.4220,+00.9680,-08.7860,-00.000894,+00.001632,+00.003995
+152.966,-021.044,-006.537,-0.141,+0.033,+2.577,-03.3810,+01.0290,-08.7690,-00.000197,+00.002853,+00.001873
+152.965,-021.040,-006.537,-0.136,+0.013,+2.610,-03.3920,+00.9650,-08.7620,+00.000468,+00.001190,-00.001343
+152.965,-021.039,-006.539,-0.141,+0.038,+2.572,-03.3760,+00.9980,-08.7990,-00.003486,-00.002270,+00.003443
+152.970,-021.041,-006.540,-0.141,+0.033,+2.599,-03.4060,+01.0210,-08.7800,+00.000947,-00.002568,+00.004294
+152.973,-021.041,-006.541,-0.122,+0.008,+2.605,-03.3970,+01.0130,-08.7760,-00.000984,-00.001099,+00.001782
+152.972,-021.038,-006.545,-0.132,+0.033,+2.572,-03.4060,+01.0000,-08.7670,-00.003001,+00.004246,+00.000456
