Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+101.330,-019.355,+009.467,+0.791,+1.071,+2.509,-03.1200,-01.4600,-08.8110,-00.004089,-00.000798,+00.004388
+101.334,-019.357,+009.462,+0.773,+1.062,+2.546,-03.1230,-01.4500,-08.7950,-00.004453,-00.002371,+00.003900
+101.338,-019.359,+009.456,+0.787,+1.096,+2.525,-03.1360,-01.4750,-08.7730,-00.005104,-00.000113,+00.004961
+101.341,-019.362,+009.448,+0.782,+1.077,+2.514,-03.1500,-01.4480,-08.7960,-00.002815,-00.000518,+00.000986
+101.343,-019.360,+009.446,+0.787,+1.072,+2.552,-03.1360,-01.4770,-08.7890,-00.001957,+00.003991,+00.001606
+101.344,-019.361,+009.443,+0.787,+1.072,+2.525,-03.1360,-01.4390,-08.8010,-00.001828,-00.001156,+00.000467
+101.344,-019.361,+009.441,+0.787,+1.081,+2.519,-03.1280,-01.4840,-08.7940,+00.000082,+00.001179,+00.000302
+101.347,-019.361,+009.439,+0.787,+1.077,+2.557,-03.1070,-01.4520,-08.7760,+00.000610,+00.000460,+00.002304
+101.347,-019.361,+009.440,+0.787,+1.111,+2.524,-03.0940,-01.4860,-08.7950,-00.003386,-00.000903,-00.000434
+101.349,-019.361,+009.436,+0.787,+1.086,+2.530,-03.1220,-01.4690,-08.7590,-00.002371,-00.000312,+00.003009
+101.352,-019.360,+009.430,+0.787,+1.077,+2.557,-03.1310,-01.4270,-08.7930,-00.005377,+00.002152,+00.002066
+101.356,-019.361,+009.423,+0.791,+1.136,+2.524,-03.1350,-01.4500,-08.7850,-00.006562,-00.000269,+00.002130
+101.359,-019.363,+009.414,+0.777,+1.067,+2.530,-03.1480,-01.4490,-08.7790,-00.006312,-00.000531,+00.001401
+101.362,-019.363,+009.409,+0.777,+1.072,+2.541,-03.1380,-01.4680,-08.7610,-00.003893,+00.000903,+00.001848
+101.364,-019.362,+009.403,+0.787,+1.096,+2.519,-03.1310,-01.4310,-08.7960,-00.003447,+00.002652,+00.001839
+101.367,-019.361,+009.397,+0.777,+1.077,+2.535,-03.1260,-01.4580,-08.7900,-00.002904,+00.000656,+00.001235
+101.369,-019.360,+009.393,+0.787,+1.067,+2.557,-03.1170,-01.4360,-08.7670,-00.002969,+00.001340,+00.001936
+101.369,-019.359,+009.392,+0.787,+1.081,+2.530,-03.0770,-01.5080,-08.7680,-00.003921,-00.003078,-00.000346
+101.371,-019.361,+009.387,+0.787,+1.077,+2.530,-03.1190,-01.4630,-08.8100,-00.003590,-00.001880,+00.001735
