Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+171.895,-016.897,+006.588,-0.160,+0.335,+2.569,-02.7730,-01.0500,-08.9580,-00.000723,-00.003532,+00.003278
+171.898,-016.902,+006.587,-0.154,+0.340,+2.553,-02.7480,-01.0420,-08.9550,-00.001710,-00.003039,+00.003034
+171.901,-016.906,+006.584,-0.165,+0.325,+2.580,-02.7470,-01.0130,-08.9620,-00.001630,-00.002977,+00.001612
+171.902,-016.911,+006.584,-0.151,+0.350,+2.543,-02.7540,-01.0300,-08.9570,-00.000917,-00.003831,+00.000328
+171.902,-016.915,+006.584,-0.154,+0.340,+2.559,-02.7630,-01.0410,-08.9660,-00.000373,-00.002893,+00.000530
+171.903,-016.918,+006.584,-0.160,+0.330,+2.580,-02.7600,-01.0270,-08.9820,+00.000499,-00.002623,+00.000229
+171.902,-016.920,+006.586,-0.151,+0.355,+2.569,-02.7590,-01.0460,-08.9490,-00.000079,-00.001942,+00.001053
+171.902,-016.921,+006.585,-0.151,+0.335,+2.537,-02.7600,-01.0340,-08.9500,-00.001223,-00.000604,+00.000660
+171.903,-016.923,+006.583,-0.165,+0.340,+2.553,-02.7720,-01.0330,-09.0030,-00.000245,+00.000910,-00.001226
+171.902,-016.921,+006.583,-0.142,+0.335,+2.559,-02.7560,-01.0360,-09.0160,+00.000071,+00.000247,+00.000589
+171.902,-016.923,+006.581,-0.158,+0.355,+2.548,-02.7320,-01.0410,-08.9310,-00.001685,-00.000814,+00.000467
+171.903,-016.924,+006.580,-0.160,+0.350,+2.553,-02.7440,-01.0390,-08.9470,-00.002624,+00.000557,+00.000160
+171.905,-016.924,+006.576,-0.160,+0.340,+2.548,-02.7290,-01.0220,-08.9320,-00.001222,-00.000189,+00.002023
+171.907,-016.925,+006.575,-0.151,+0.330,+2.561,-02.7490,-01.0170,-08.9430,-00.000285,-00.000424,+00.001774
+171.908,-016.927,+006.576,-0.156,+0.345,+2.558,-02.7500,-01.0610,-08.9570,+00.000381,-00.002384,+00.001032
+171.908,-016.929,+006.576,-0.160,+0.340,+2.542,-02.7460,-01.0150,-08.9460,-00.001461,-00.001706,+00.000167
+171.909,-016.933,+006.576,-0.154,+0.332,+2.545,-02.7530,-01.0560,-08.9490,-00.002826,-00.002485,+00.003122
+171.912,-016.937,+006.572,-0.147,+0.335,+2.575,-02.7470,-01.0450,-08.9810,-00.003318,-00.003866,+00.003319
+171.916,-016.942,+006.567,-0.165,+0.374,+2.563,-02.7430,-01.0360,-08.9700,-00.002519,-00.004444,+00.003523
+171.920,-016.947,+006.562,-0.154,+0.335,+2.534,-02.7800,-01.0130,-08.9560,-00.003674,-00.003395,+00.003096
+171.924,-016.953,+006.558,-0.156,+0.355,+2.585,-02.7660,-01.0360,-08.9260,-00.002629,-00.003341,+00.001547
+171.926,-016.960,+006.553,-0.156,+0.345,+2.537,-02.7680,-01.0160,-08.9420,-00.004806,-00.004280,+00.003299
+171.930,-016.967,+006.547,-0.151,+0.347,+2.556,-02.7530,-01.0110,-08.9490,-00.005660,-00.003275,+00.002294
+171.934,-016.972,+006.540,-0.156,+0.330,+2.575,-02.7570,-01.0100,-08.9600,-00.001869,-00.003972,+00.004005
+171.937,-016.977,+006.537,-0.151,+0.345,+2.543,-02.7780,-01.0070,-08.9530,-00.000722,-00.002307,+00.001754
+171.938,-016.981,+006.536,-0.149,+0.335,+2.553,-02.7620,-01.0270,-08.9640,-00.000423,-00.002343,+00.000259
+171.940,-016.983,+006.535,-0.151,+0.315,+2.597,-02.7490,-01.0190,-08.9330,-00.000449,+00.000036,+00.001778
+171.941,-016.984,+006.531,-0.160,+0.330,+2.548,-02.7740,-01.0040,-08.9840,-00.001729,-00.000228,+00.001998
+171.944,-016.985,+006.528,-0.151,+0.340,+2.559,-02.7760,-01.0160,-08.9530,-00.001673,+00.000504,+00.001398
+171.944,-016.986,+006.526,-0.160,+0.315,+2.575,-02.7590,-01.0160,-08.9790,-00.002326,-00.001107,+00.001450
+171.944,-016.987,+006.523,-0.165,+0.320,+2.553,-02.7750,-01.0420,-08.9720,-00.002388,-00.000327,+00.001186
+171.945,-016.988,+006.521,-0.158,+0.325,+2.556,-02.7510,-01.0230,-08.9950,-00.001098,-00.001068,-00.000272
