Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-120.693,-019.363,+008.419,+1.123,-0.629,+2.706,-03.1030,-01.2510,-08.7940,-00.000183,+00.012980,-00.000329
-120.695,-019.346,+008.421,+1.123,-0.639,+2.722,-03.0920,-01.3750,-08.7310,-00.011973,+00.010101,-00.002479
-120.692,-019.340,+008.393,+1.123,-0.649,+2.695,-03.1530,-01.3380,-08.7950,-00.029356,+00.005975,+00.004428
-120.689,-019.320,+008.373,+1.114,-0.659,+2.695,-03.1270,-01.3000,-08.7670,-00.008116,+00.023505,-00.006380
-120.699,-019.292,+008.383,+1.119,-0.659,+2.711,-03.1430,-01.3030,-08.8210,+00.012328,+00.023126,-00.013615
-120.709,-019.258,+008.407,+1.114,-0.644,+2.684,-03.1410,-01.3210,-08.8120,+00.021780,+00.033702,-00.011125
-120.716,-019.214,+008.442,+1.119,-0.664,+2.738,-03.1000,-01.3150,-08.7840,+00.036433,+00.038065,-00.012041
-120.730,-019.162,+008.500,+1.114,-0.649,+2.706,-03.0960,-01.3730,-08.7930,+00.053632,+00.049561,-00.022732
-120.760,-019.098,+008.577,+1.114,-0.649,+2.711,-03.0870,-01.3600,-08.7820,+00.057379,+00.049921,-00.038484
-120.794,-019.025,+008.635,+1.114,-0.644,+2.722,-03.1410,-01.4350,-08.7560,+00.032918,+00.062381,-00.037527
-120.823,-018.948,+008.691,+1.114,-0.634,+2.716,-03.0710,-01.3090,-08.8420,+00.056556,+00.065297,-00.030799
-120.858,-018.857,+008.801,+1.109,-0.615,+2.705,-03.0530,-01.2530,-08.8770,+00.094516,+00.078745,-00.047518
-120.907,-018.747,+008.915,+1.105,-0.639,+2.732,-03.0340,-01.3170,-08.8130,+00.069739,+00.097827,-00.055588
-120.921,-018.606,+009.008,+1.100,-0.629,+2.716,-03.2700,-01.7060,-08.7080,+00.066294,+00.136635,-00.018191
-120.886,-018.438,+009.027,+1.109,-0.615,+2.716,-02.8380,-01.6310,-08.8710,+00.004287,+00.154456,+00.024815
-120.806,-018.307,+008.947,+1.082,-0.634,+2.720,-02.7870,-01.4660,-08.8310,-00.053350,+00.093860,+00.055169
-120.760,-018.223,+008.920,+1.096,-0.619,+2.721,-02.8830,-01.5560,-08.9210,+00.001786,+00.078737,+00.006727
-120.775,-018.145,+008.973,+1.073,-0.624,+2.747,-02.9060,-01.2220,-08.9110,+00.071803,+00.056760,-00.041069
-120.857,-018.080,+009.139,+1.082,-0.634,+2.763,-02.8890,-01.4480,-08.8750,+00.138839,+00.035169,-00.088404
-120.954,-018.043,+009.335,+1.082,-0.609,+2.726,-02.7440,-01.4170,-08.9080,+00.139544,+00.008303,-00.073176
-121.009,-018.034,+009.473,+1.082,-0.599,+2.726,-02.8020,-01.5180,-08.8100,+00.083568,-00.006234,-00.029282
-121.037,-018.036,+009.587,+1.096,-0.604,+2.742,-02.9240,-01.3050,-08.8210,+00.098502,-00.002373,-00.022281
-121.078,-018.026,+009.735,+1.091,-0.604,+2.726,-03.0660,-01.6090,-08.8870,+00.123419,+00.017142,-00.044828
-121.152,-017.980,+009.892,+1.077,-0.594,+2.741,-02.7970,-01.4330,-08.8020,+00.110907,+00.023689,-00.069156
-121.213,-017.941,+010.011,+1.077,-0.599,+2.752,-02.8320,-01.5750,-08.7030,+00.068359,+00.021309,-00.047635
-121.257,-017.930,+010.083,+1.086,-0.580,+2.736,-02.6740,-01.7040,-08.6980,+00.046799,-00.014967,-00.036374
-121.290,-017.943,+010.121,+1.086,-0.580,+2.742,-02.7500,-01.4270,-08.7630,+00.016459,-00.031635,-00.016869
-121.318,-017.989,+010.143,+1.086,-0.589,+2.763,-02.8410,-01.4660,-08.8480,+00.009187,-00.042793,-00.011352
-121.344,-018.043,+010.134,+1.091,-0.570,+2.742,-02.8750,-01.4690,-08.8170,-00.025144,-00.059008,-00.010131
-121.360,-018.111,+010.098,+1.100,-0.595,+2.732,-02.9370,-01.9770,-08.7710,-00.052389,-00.057335,-00.008121
-121.367,-018.190,+010.011,+1.100,-0.585,+2.753,-02.5570,-01.6980,-08.6520,-00.102764,-00.083184,+00.024865
-121.306,-018.326,+009.814,+1.100,-0.585,+2.732,-02.7890,-01.2940,-08.6670,-00.182450,-00.119021,+00.098046
-121.158,-018.518,+009.504,+1.119,-0.600,+2.738,-02.9340,-01.5040,-08.9080,-00.242609,-00.151784,+00.185100
-120.948,-018.727,+009.196,+1.110,-0.614,+2.732,-03.3130,-01.5350,-08.9100,-00.185133,-00.148765,+00.194110
-120.764,-018.926,+008.948,+1.123,-0.625,+2.711,-03.0920,-01.4460,-08.8100,-00.156618,-00.149280,+00.169171
-120.602,-019.135,+008.726,+1.109,-0.649,+2.700,-03.0270,-01.3780,-08.7830,-00.148668,-00.162959,+00.163155
-120.399,-019.356,+008.454,+1.119,-0.669,+2.722,-03.1980,-01.3110,-08.7700,-00.204162,-00.173437,+00.212201
-120.131,-019.626,+008.026,+1.123,-0.654,+2.701,-03.2940,-01.3530,-08.7870,-00.327956,-00.216828,+00.270950
-119.815,-019.941,+007.534,+1.132,-0.684,+2.691,-03.3160,-01.2450,-08.7850,-00.328078,-00.239330,+00.311253
-119.496,-020.278,+007.086,+1.142,-0.694,+2.702,-03.3280,-01.1480,-08.8620,-00.274816,-00.270076,+00.275181
-119.248,-020.651,+006.686,+1.146,-0.704,+2.681,-03.1580,-01.1180,-08.8370,-00.293796,-00.323921,+00.225903
-119.055,-021.133,+006.271,+1.165,-0.734,+2.655,-03.2570,-00.9170,-08.8380,-00.301566,-00.441780,+00.180623
-118.956,-021.783,+005.900,+1.165,-0.748,+2.671,-03.3680,-00.8550,-08.9020,-00.293799,-00.636651,+00.106986
-118.974,-022.683,+005.531,+1.211,-0.749,+2.603,-03.8540,-00.9730,-08.7290,-00.351317,-00.872253,+00.031217
-119.213,-023.874,+005.184,+1.257,-0.779,+2.600,-03.7660,-00.6010,-08.8230,-00.400309,-01.163030,-00.163876
-119.684,-025.355,+004.854,+1.303,-0.785,+2.581,-04.1040,-00.8460,-08.7800,-00.490558,-01.428947,-00.360329
-120.461,-027.260,+004.552,+1.373,-0.756,+2.476,-04.3480,-00.8760,-08.5310,-00.596684,-01.892913,-00.509092
-121.405,-029.744,+004.315,+1.483,-0.792,+2.422,-05.2550,-00.6030,-08.4150,-00.583931,-02.420400,-00.604435
-122.691,-032.897,+004.287,+1.571,-0.784,+2.388,-05.2260,-00.6650,-08.7730,-00.551971,-03.058902,-00.863266
-124.505,-036.847,+004.968,+1.714,-0.766,+2.260,-04.4790,-00.4930,-09.9720,-00.157574,-03.808393,-00.992583
-126.317,-041.798,+006.245,+1.858,-0.734,+2.104,-04.2220,-01.4000,-09.7920,+00.161207,-04.813556,-00.607908
-127.780,-047.932,+007.588,+1.987,-0.701,+1.970,-04.9930,+01.5500,-15.3420,+00.704911,-05.646463,+00.072960
-129.111,-055.031,+010.491,+2.149,-0.625,+1.718,-10.0510,-00.9190,-14.5990,+01.865157,-06.616962,+00.394998
