Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-123.689,-087.286,-169.034,+1.719,+0.322,-0.100,-09.8170,+00.0940,+00.4160,-00.000234,-00.000986,+00.000739
-123.665,-087.287,-169.059,+1.723,+0.302,-0.132,-09.8140,+00.0780,+00.4270,+00.000541,+00.001229,-00.000116
-123.679,-087.286,-169.047,+1.728,+0.297,-0.121,-09.8100,+00.0960,+00.4680,+00.000449,-00.000562,+00.001111
-123.666,-087.286,-169.060,+1.728,+0.312,-0.110,-09.8180,+00.0860,+00.4860,+00.000851,+00.001108,-00.001154
-123.671,-087.287,-169.058,+1.737,+0.307,-0.115,-09.8220,+00.0890,+00.4320,+00.000305,+00.000565,+00.000799
-123.696,-087.287,-169.036,+1.732,+0.287,-0.126,-09.7960,+00.1000,+00.4730,+00.000779,-00.000740,-00.000367
-123.687,-087.290,-169.048,+1.728,+0.297,-0.110,-09.8140,+00.0890,+00.4430,-00.000497,-00.000416,+00.000208
-123.687,-087.291,-169.049,+1.723,+0.302,-0.126,-09.8040,+00.1040,+00.4330,-00.000321,+00.000787,+00.000117
-123.667,-087.289,-169.070,+1.723,+0.312,-0.110,-09.8370,+00.1000,+00.4760,+00.000644,-00.000790,+00.000876
-123.686,-087.290,-169.053,+1.742,+0.317,-0.099,-09.8300,+00.0910,+00.4560,+00.000902,-00.000856,-00.001347
-123.690,-087.291,-169.050,+1.737,+0.322,-0.115,-09.8260,+00.0750,+00.4320,+00.001030,+00.001343,-00.000533
-123.699,-087.292,-169.044,+1.737,+0.292,-0.120,-09.8220,+00.0910,+00.4580,+00.000542,-00.000907,-00.000314
-123.685,-087.294,-169.060,+1.728,+0.287,-0.099,-09.8090,+00.0740,+00.4210,+00.000911,-00.000667,-00.000101
-123.675,-087.295,-169.073,+1.737,+0.317,-0.104,-09.8110,+00.0830,+00.4560,+00.000416,+00.000412,-00.000771
-123.700,-087.293,-169.050,+1.737,+0.302,-0.120,-09.8270,+00.1190,+00.4410,+00.000292,-00.001039,-00.000595
