Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+063.507,+085.443,+178.047,-1.411,+0.007,-0.159,+09.8180,-00.0210,+00.7930,-00.001063,-00.000486,+00.000828
+063.499,+085.444,+178.037,-1.425,+0.022,-0.144,+09.8110,-00.0370,+00.7710,-00.001240,-00.000452,+00.000441
+063.497,+085.444,+178.034,-1.406,+0.022,-0.165,+09.7880,-00.0010,+00.7290,-00.001639,+00.000668,+00.000287
+063.495,+085.444,+178.031,-1.416,+0.022,-0.160,+09.8140,-00.0450,+00.8030,-00.001196,-00.000107,-00.000926
+063.485,+085.444,+178.019,-1.411,-0.003,-0.165,+09.8430,-00.0440,+00.7920,-00.000623,-00.000781,+00.000820
+063.480,+085.445,+178.013,-1.416,+0.012,-0.176,+09.8280,-00.0170,+00.7890,-00.001147,-00.000429,-00.000004
+063.478,+085.446,+178.011,-1.406,+0.047,-0.165,+09.8180,-00.0270,+00.8040,-00.000316,-00.000381,+00.001317
+063.486,+085.446,+178.018,-1.411,-0.003,-0.159,+09.7880,-00.0370,+00.7970,-00.001956,+00.000403,-00.000759
+063.474,+085.446,+178.005,-1.411,+0.012,-0.192,+09.8170,-00.0310,+00.7830,-00.001822,-00.000609,+00.001193
+063.453,+085.446,+177.984,-1.416,+0.007,-0.154,+09.8190,-00.0510,+00.7910,-00.000511,-00.000435,+00.001224
+063.470,+085.446,+178.000,-1.411,-0.008,-0.175,+09.8230,-00.0210,+00.7860,-00.000010,-00.000349,-00.000602
+063.467,+085.446,+177.997,-1.411,+0.012,-0.197,+09.7890,-00.0210,+00.7830,-00.001262,+00.000126,+00.000751
+063.469,+085.445,+177.997,-1.406,-0.008,-0.186,+09.8130,-00.0170,+00.8010,-00.001533,+00.001637,+00.000585
+063.476,+085.445,+178.003,-1.411,-0.003,-0.165,+09.7990,-00.0390,+00.7930,-00.000959,+00.000332,+00.000320
+063.487,+085.445,+178.014,-1.406,+0.061,-0.170,+09.8270,-00.0090,+00.7800,-00.001526,+00.000190,+00.000136
+063.492,+085.444,+178.018,-1.402,+0.017,-0.164,+09.7920,-00.0150,+00.7800,-00.000674,-00.000482,+00.001031
+063.493,+085.444,+178.017,-1.420,+0.007,-0.154,+09.8310,-00.0100,+00.7830,-00.001501,-00.000165,+00.000549
+063.507,+085.445,+178.030,-1.411,+0.027,-0.165,+09.7950,-00.0210,+00.7770,-00.001708,+00.000244,+00.000136
+063.489,+085.445,+178.012,-1.420,+0.012,-0.170,+09.8000,-00.0250,+00.7500,-00.000947,-00.000578,+00.001601
+063.495,+085.445,+178.017,-1.420,+0.002,-0.149,+09.8080,-00.0220,+00.7830,-00.000535,-00.000297,-00.000051
+063.503,+085.445,+178.024,-1.411,+0.017,-0.175,+09.8180,-00.0380,+00.7750,-00.001868,-00.000191,+00.000210
+063.498,+085.445,+178.018,-1.416,-0.003,-0.181,+09.8160,-00.0430,+00.7480,-00.000992,+00.000773,+00.000373
+063.494,+085.445,+178.013,-1.429,-0.003,-0.144,+09.8010,-00.0180,+00.7460,-00.001047,+00.000372,+00.001352
+063.496,+085.445,+178.015,-1.416,+0.012,-0.186,+09.8200,-00.0260,+00.8030,-00.001274,+00.000209,+00.000895
+063.506,+085.444,+178.024,-1.416,+0.037,-0.176,+09.8110,-00.0090,+00.7850,-00.000920,+00.000004,-00.000266
+063.495,+085.442,+178.011,-1.411,-0.013,-0.164,+09.8250,-00.0160,+00.7810,-00.000759,+00.000459,+00.000934
+063.499,+085.442,+178.014,-1.416,+0.012,-0.176,+09.8120,-00.0280,+00.7640,-00.001836,+00.000629,+00.000070
+063.512,+085.442,+178.026,-1.416,+0.002,-0.165,+09.8050,+00.0000,+00.8100,-00.001206,+00.000457,+00.000588
+063.514,+085.444,+178.027,-1.411,-0.003,-0.165,+09.8230,-00.0130,+00.7510,-00.001082,-00.001374,+00.000590
+063.519,+085.444,+178.031,-1.411,+0.002,-0.181,+09.8230,-00.0260,+00.7770,-00.001063,-00.000035,+00.000529
+063.538,+085.444,+178.051,-1.406,-0.008,-0.180,+09.8090,+00.0050,+00.7910,-00.001758,+00.000398,+00.000885
+063.532,+085.444,+178.043,-1.416,+0.027,-0.154,+09.8170,-00.0300,+00.7780,-00.001546,+00.000670,-00.000579
+063.536,+085.444,+178.046,-1.420,+0.012,-0.176,+09.8100,-00.0290,+00.7890,-00.002775,+00.000192,-00.000290
+063.542,+085.445,+178.051,-1.411,+0.022,-0.165,+09.8020,-00.0160,+00.7700,-00.001033,-00.000481,-00.001338
+063.553,+085.445,+178.061,-1.397,+0.017,-0.153,+09.8260,-00.0190,+00.8100,-00.000307,+00.000452,-00.000441
+063.553,+085.445,+178.059,-1.416,+0.037,-0.176,+09.8020,-00.0250,+00.7770,-00.000771,+00.000228,-00.000093
+063.555,+085.445,+178.061,-1.411,+0.002,-0.181,+09.7980,-00.0090,+00.7740,-00.001076,-00.000535,-00.000266
+063.548,+085.445,+178.053,-1.416,-0.023,-0.159,+09.8220,-00.0360,+00.7800,-00.000614,+00.000423,+00.001557
+063.557,+085.445,+178.062,-1.406,+0.037,-0.170,+09.8050,-00.0060,+00.7990,-00.000775,-00.001259,-00.000501
+063.550,+085.445,+178.054,-1.420,+0.012,-0.187,+09.8130,-00.0300,+00.7870,-00.000537,-00.000618,+00.000266
+063.556,+085.446,+178.060,-1.416,+0.027,-0.149,+09.8190,-00.0090,+00.7550,-00.000908,+00.001335,-00.000057
+063.561,+085.446,+178.064,-1.406,+0.017,-0.170,+09.8050,-00.0260,+00.7690,-00.001324,-00.000013,+00.000006
+063.551,+085.446,+178.053,-1.406,+0.012,-0.164,+09.8040,-00.0320,+00.7730,-00.001129,-00.000410,+00.000254
+063.565,+085.447,+178.065,-1.411,-0.018,-0.148,+09.7980,-00.0340,+00.7670,-00.000698,-00.001128,+00.000286
+063.568,+085.446,+178.068,-1.425,+0.057,-0.171,+09.8240,-00.0330,+00.7940,-00.000471,-00.000218,+00.001228
+063.569,+085.447,+178.067,-1.416,+0.007,-0.203,+09.8260,-00.0260,+00.7620,-00.002218,+00.000792,+00.000321
+063.562,+085.446,+178.060,-1.411,+0.037,-0.159,+09.8150,-00.0420,+00.7810,-00.000309,-00.000193,+00.000140
+063.576,+085.446,+178.074,-1.411,+0.002,-0.175,+09.8210,-00.0220,+00.7740,-00.000382,+00.000511,-00.000203
+063.561,+085.444,+178.059,-1.411,+0.007,-0.186,+09.7990,-00.0380,+00.8080,-00.000278,+00.000732,+00.000575
+063.561,+085.445,+178.058,-1.420,+0.007,-0.165,+09.8500,-00.0310,+00.7630,-00.001751,-00.000515,+00.000780
+063.557,+085.444,+178.053,-1.416,+0.042,-0.181,+09.8100,-00.0290,+00.8100,-00.001364,-00.000375,+00.000684
+063.575,+085.442,+178.070,-1.416,-0.003,-0.176,+09.7950,-00.0110,+00.7900,-00.001189,+00.000003,-00.000065
+063.566,+085.440,+178.060,-1.402,+0.007,-0.170,+09.8180,-00.0260,+00.8080,-00.001486,-00.000476,+00.000806
+063.551,+085.440,+178.044,-1.416,+0.022,-0.197,+09.8260,-00.0330,+00.7720,-00.000152,-00.000720,-00.000037
+063.547,+085.440,+178.039,-1.420,-0.003,-0.176,+09.8060,-00.0210,+00.7780,-00.000964,+00.000274,+00.000429
+063.550,+085.440,+178.041,-1.416,+0.002,-0.149,+09.8270,-00.0280,+00.7920,-00.000967,-00.000465,-00.000418
