Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-019.079,-001.797,+092.862,+0.065,+1.723,-0.161,-00.3170,-09.7830,+00.5130,-00.000165,+00.000504,-00.001571
-019.079,-001.798,+092.862,+0.060,+1.763,-0.134,-00.3090,-09.7900,+00.4950,-00.000787,+00.000305,+00.000161
-019.079,-001.798,+092.861,+0.069,+1.753,-0.145,-00.2980,-09.7860,+00.4710,-00.000105,+00.000294,+00.000812
-019.079,-001.797,+092.862,+0.069,+1.738,-0.161,-00.3030,-09.7970,+00.4820,+00.001203,+00.000459,-00.000188
-019.078,-001.798,+092.863,+0.069,+1.723,-0.134,-00.3150,-09.8010,+00.5120,+00.000742,+00.000331,-00.001204
-019.078,-001.797,+092.863,+0.064,+1.728,-0.177,-00.3100,-09.8160,+00.4580,+00.001150,+00.000341,-00.000231
-019.078,-001.796,+092.863,+0.065,+1.748,-0.156,-00.3050,-09.7960,+00.4760,+00.001743,+00.000213,-00.000610
-019.077,-001.796,+092.862,+0.065,+1.738,-0.139,-00.3210,-09.7850,+00.4710,-00.000791,-00.000492,+00.000062
-019.077,-001.797,+092.863,+0.065,+1.738,-0.172,-00.3150,-09.8090,+00.5070,+00.000591,-00.000476,+00.001326
-019.077,-001.798,+092.863,+0.065,+1.738,-0.145,-00.3190,-09.7970,+00.4930,+00.000656,+00.000259,-00.000555
-019.077,-001.798,+092.863,+0.065,+1.728,-0.145,-00.3180,-09.8070,+00.4980,+00.000963,-00.000681,-00.000205
-019.077,-001.799,+092.862,+0.069,+1.743,-0.155,-00.3080,-09.8250,+00.4880,+00.001256,+00.000011,+00.000050
-019.076,-001.800,+092.863,+0.069,+1.743,-0.166,-00.3260,-09.8100,+00.4830,+00.001355,+00.001624,+00.000690
-019.075,-001.801,+092.864,+0.069,+1.728,-0.166,-00.3140,-09.7830,+00.4750,+00.000286,+00.001427,+00.000334
-019.075,-001.800,+092.864,+0.060,+1.768,-0.156,-00.3160,-09.8170,+00.4770,+00.000445,+00.001179,-00.000339
-019.075,-001.801,+092.865,+0.065,+1.733,-0.161,-00.3220,-09.8270,+00.4890,+00.000820,+00.000060,+00.000672
-019.076,-001.802,+092.866,+0.065,+1.728,-0.145,-00.3290,-09.8290,+00.4760,-00.001129,+00.000016,+00.000179
