Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+158.950,+000.335,-092.622,+0.304,-1.414,-0.160,+00.0650,+09.8230,+00.4620,+00.000609,+00.000151,+00.000823
+158.950,+000.334,-092.622,+0.295,-1.429,-0.144,+00.0400,+09.8540,+00.4700,-00.000699,-00.000134,+00.000803
+158.949,+000.335,-092.623,+0.300,-1.404,-0.117,+00.0710,+09.8250,+00.4630,+00.000160,+00.000547,+00.000398
+158.949,+000.335,-092.624,+0.300,-1.399,-0.138,+00.0420,+09.8230,+00.4510,-00.000309,-00.001063,+00.000837
+158.948,+000.336,-092.624,+0.295,-1.409,-0.144,+00.0480,+09.8270,+00.4490,-00.000255,-00.000653,+00.001224
+158.949,+000.335,-092.623,+0.300,-1.399,-0.112,+00.0580,+09.8060,+00.4270,+00.000344,-00.001041,-00.001529
+158.948,+000.336,-092.624,+0.304,-1.434,-0.138,+00.0760,+09.8110,+00.4350,+00.000474,-00.000347,+00.000281
+158.947,+000.336,-092.624,+0.300,-1.419,-0.144,+00.0750,+09.8160,+00.4480,-00.000283,+00.001263,-00.001109
+158.947,+000.335,-092.623,+0.304,-1.424,-0.127,+00.0280,+09.8420,+00.4340,-00.000092,-00.000421,+00.000542
+158.947,+000.337,-092.624,+0.309,-1.419,-0.159,+00.0600,+09.8610,+00.4590,+00.000353,-00.000613,+00.000338
+158.946,+000.336,-092.623,+0.300,-1.394,-0.133,+00.0590,+09.8260,+00.4610,+00.000460,-00.000532,+00.000390
+158.947,+000.335,-092.623,+0.295,-1.439,-0.144,+00.0540,+09.8370,+00.4640,-00.000041,-00.000632,-00.000384
+158.946,+000.336,-092.623,+0.300,-1.375,-0.139,+00.0730,+09.8060,+00.4220,-00.000379,+00.000063,-00.000350
+158.946,+000.337,-092.622,+0.295,-1.419,-0.160,+00.0540,+09.8310,+00.4410,-00.000295,-00.001256,+00.000384
+158.946,+000.336,-092.622,+0.300,-1.409,-0.117,+00.0470,+09.8300,+00.4760,+00.000718,-00.000607,-00.000914
+158.946,+000.338,-092.622,+0.295,-1.409,-0.139,+00.0850,+09.8250,+00.4320,+00.000201,+00.000553,+00.000079
+158.946,+000.338,-092.622,+0.309,-1.429,-0.143,+00.0610,+09.8230,+00.4560,+00.000085,-00.001147,+00.000997
+158.946,+000.337,-092.623,+0.304,-1.429,-0.133,+00.0420,+09.8270,+00.4930,+00.000225,+00.000202,-00.000500
+158.946,+000.336,-092.623,+0.300,-1.419,-0.138,+00.0550,+09.8350,+00.4440,+00.000547,-00.001371,+00.000293
+158.947,+000.335,-092.621,+0.304,-1.434,-0.127,+00.0470,+09.8440,+00.4260,-00.000108,-00.000785,-00.000155
+158.947,+000.335,-092.622,+0.304,-1.444,-0.133,+00.0600,+09.8280,+00.4610,-00.000473,-00.000898,+00.000177
+158.946,+000.335,-092.621,+0.295,-1.399,-0.139,+00.0650,+09.8290,+00.4410,+00.000329,-00.000427,+00.000231
+158.946,+000.336,-092.621,+0.295,-1.424,-0.144,+00.0620,+09.8190,+00.4320,+00.000351,-00.001109,-00.000202
+158.946,+000.335,-092.620,+0.304,-1.419,-0.117,+00.0450,+09.8210,+00.4250,+00.001054,-00.001256,-00.001052
+158.947,+000.335,-092.621,+0.300,-1.404,-0.149,+00.0640,+09.8260,+00.4640,-00.000102,-00.000205,-00.000138
+158.946,+000.336,-092.620,+0.291,-1.424,-0.139,+00.0950,+09.8240,+00.4600,-00.000311,-00.000839,+00.000852
+158.946,+000.335,-092.620,+0.304,-1.424,-0.127,+00.0370,+09.8250,+00.4520,-00.000486,-00.000648,-00.002151
+158.945,+000.334,-092.621,+0.304,-1.419,-0.138,+00.0460,+09.8420,+00.4620,+00.000909,-00.000571,-00.000377
+158.944,+000.335,-092.621,+0.300,-1.424,-0.144,+00.0740,+09.8160,+00.4560,+00.000173,+00.000275,+00.000600
+158.944,+000.335,-092.622,+0.291,-1.419,-0.128,+00.0640,+09.8540,+00.4340,+00.000725,-00.000222,-00.000172
+158.943,+000.335,-092.621,+0.295,-1.375,-0.139,+00.0680,+09.8500,+00.4240,-00.000542,-00.000416,-00.000580
+158.942,+000.336,-092.622,+0.300,-1.419,-0.138,+00.0800,+09.8120,+00.4630,+00.000443,-00.000763,-00.000119
+158.942,+000.336,-092.622,+0.295,-1.419,-0.112,+00.0560,+09.8010,+00.4600,+00.001135,-00.000083,-00.000871
+158.942,+000.336,-092.621,+0.309,-1.424,-0.132,+00.0420,+09.8330,+00.4780,+00.000424,-00.001708,-00.000246
+158.941,+000.336,-092.621,+0.295,-1.424,-0.128,+00.0680,+09.8190,+00.4650,+00.001025,-00.000586,-00.000711
+158.941,+000.336,-092.622,+0.304,-1.429,-0.117,+00.0540,+09.8470,+00.4870,+00.000534,-00.001071,+00.000699
+158.940,+000.336,-092.622,+0.295,-1.409,-0.155,+00.0530,+09.8370,+00.4220,-00.001376,-00.000570,+00.001371
+158.940,+000.337,-092.622,+0.304,-1.414,-0.165,+00.0760,+09.8290,+00.4190,+00.000005,-00.001322,+00.001451
+158.941,+000.336,-092.623,+0.291,-1.379,-0.117,+00.0550,+09.8210,+00.4770,+00.000893,-00.000395,-00.000469
+158.940,+000.336,-092.623,+0.300,-1.404,-0.138,+00.0670,+09.8190,+00.4540,+00.000905,+00.000137,+00.000047
+158.942,+000.337,-092.623,+0.295,-1.414,-0.149,+00.0570,+09.8490,+00.4130,-00.000351,-00.001601,+00.000045
+158.942,+000.336,-092.623,+0.300,-1.404,-0.117,+00.0460,+09.8220,+00.4620,-00.000045,-00.000491,-00.000019
+158.941,+000.336,-092.624,+0.305,-1.404,-0.127,+00.0530,+09.8410,+00.4350,+00.000379,-00.000382,+00.000272
+158.941,+000.336,-092.624,+0.309,-1.409,-0.165,+00.0750,+09.8300,+00.4430,-00.000285,-00.000730,+00.000825
+158.942,+000.337,-092.625,+0.295,-1.434,-0.128,+00.0750,+09.7900,+00.4550,+00.000435,-00.001653,+00.000547
+158.943,+000.337,-092.625,+0.300,-1.399,-0.144,+00.0510,+09.8250,+00.4450,-00.000471,-00.001591,-00.000346
+158.943,+000.338,-092.625,+0.300,-1.424,-0.149,+00.0730,+09.8340,+00.4660,+00.000300,+00.000518,+00.000253
+158.942,+000.338,-092.625,+0.314,-1.424,-0.148,+00.0680,+09.8260,+00.4600,-00.000730,-00.000520,-00.000832
+158.942,+000.338,-092.624,+0.305,-1.390,-0.138,+00.0830,+09.8100,+00.4550,+00.000775,+00.000002,-00.000692
+158.942,+000.338,-092.626,+0.300,-1.414,-0.144,+00.0450,+09.8260,+00.4390,-00.000842,-00.001256,+00.000855
+158.942,+000.338,-092.626,+0.304,-1.429,-0.138,+00.0430,+09.8040,+00.4580,+00.000021,-00.000196,+00.000103
+158.942,+000.338,-092.625,+0.291,-1.414,-0.139,+00.0410,+09.8250,+00.4580,+00.001003,-00.000266,-00.000556
+158.942,+000.338,-092.625,+0.304,-1.419,-0.165,+00.0530,+09.8290,+00.4980,+00.000809,-00.000560,+00.000498
+158.942,+000.337,-092.628,+0.300,-1.414,-0.128,+00.0330,+09.8270,+00.4730,-00.000255,-00.000631,-00.000568
+158.942,+000.337,-092.627,+0.304,-1.419,-0.149,+00.0490,+09.8240,+00.4660,-00.000084,-00.000069,-00.000165
+158.942,+000.336,-092.627,+0.295,-1.409,-0.122,+00.0560,+09.8240,+00.4670,-00.000722,-00.001394,-00.000650
+158.941,+000.336,-092.627,+0.291,-1.419,-0.128,+00.0540,+09.8210,+00.4510,-00.000482,-00.000440,+00.000425
+158.941,+000.338,-092.628,+0.300,-1.414,-0.149,+00.0710,+09.7940,+00.4770,-00.000470,-00.000334,+00.000547
+158.943,+000.337,-092.629,+0.300,-1.414,-0.133,+00.0440,+09.8380,+00.4640,+00.000947,-00.002034,+00.000139
+158.942,+000.337,-092.629,+0.291,-1.414,-0.112,+00.0560,+09.8460,+00.4500,+00.000490,-00.001184,-00.000189
+158.942,+000.337,-092.628,+0.300,-1.404,-0.144,+00.0560,+09.8230,+00.4400,-00.000299,-00.000714,-00.000220
+158.943,+000.336,-092.627,+0.300,-1.424,-0.138,+00.0330,+09.8310,+00.4410,+00.000008,-00.000078,+00.001174
+158.944,+000.336,-092.628,+0.295,-1.424,-0.149,+00.0390,+09.8280,+00.4540,+00.000815,-00.002069,-00.001040
