Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-014.213,+000.023,+000.017,-0.085,+1.157,+2.635,+00.0190,-00.0040,-09.4130,+00.000140,-00.000981,+00.000195
-014.213,+000.022,+000.017,-0.081,+1.127,+2.630,+00.0100,-00.0060,-09.4450,-00.000318,-00.000732,-00.000351
-014.213,+000.021,+000.018,-0.080,+1.128,+2.668,-00.0210,+00.0140,-09.4400,+00.000266,-00.000234,-00.000280
-014.213,+000.021,+000.018,-0.090,+1.132,+2.641,+00.0030,-00.0040,-09.4430,+00.000210,-00.000820,-00.000623
-014.213,+000.020,+000.018,-0.099,+1.157,+2.651,+00.0070,+00.0010,-09.4330,+00.000241,+00.000368,+00.000109
-014.212,+000.020,+000.019,-0.090,+1.137,+2.657,+00.0030,-00.0140,-09.4290,+00.000503,+00.000084,+00.000748
-014.213,+000.021,+000.021,-0.085,+1.162,+2.646,+00.0180,-00.0140,-09.4400,+00.000648,-00.000722,-00.001307
-014.213,+000.020,+000.020,-0.085,+1.127,+2.652,+00.0070,-00.0020,-09.4700,-00.001400,-00.001264,+00.000071
-014.213,+000.021,+000.019,-0.085,+1.132,+2.668,+00.0010,-00.0120,-09.4350,-00.001399,-00.000745,+00.000275
-014.212,+000.018,+000.019,-0.094,+1.128,+2.651,-00.0050,-00.0090,-09.3970,+00.000565,-00.000340,-00.000019
-014.214,+000.019,+000.019,-0.085,+1.127,+2.625,+00.0320,-00.0110,-09.4480,+00.000463,+00.000662,+00.000470
-014.213,+000.019,+000.019,-0.090,+1.137,+2.651,+00.0090,-00.0080,-09.4010,+00.000444,+00.000276,-00.000587
-014.213,+000.019,+000.018,-0.094,+1.147,+2.635,+00.0150,+00.0000,-09.4480,+00.000178,-00.001158,+00.000074
-014.213,+000.019,+000.018,-0.094,+1.142,+2.640,-00.0080,+00.0090,-09.4140,+00.000500,+00.000118,+00.000548
-014.213,+000.019,+000.018,-0.104,+1.133,+2.651,+00.0080,-00.0110,-09.4300,+00.000552,+00.000045,-00.000053
-014.214,+000.018,+000.018,-0.085,+1.152,+2.625,+00.0070,-00.0100,-09.4310,-00.000451,+00.000325,+00.000693
-014.213,+000.018,+000.018,-0.085,+1.123,+2.646,+00.0270,-00.0290,-09.4040,+00.001535,-00.000666,-00.000237
-014.213,+000.018,+000.018,-0.090,+1.162,+2.657,+00.0260,-00.0010,-09.3940,+00.000463,-00.001156,+00.000464
-014.213,+000.017,+000.017,-0.104,+1.157,+2.635,+00.0020,-00.0080,-09.4220,+00.000917,-00.000947,-00.000826
-014.213,+000.016,+000.018,-0.090,+1.142,+2.635,+00.0050,-00.0170,-09.3870,-00.000183,-00.000085,+00.000684
-014.213,+000.017,+000.017,-0.090,+1.137,+2.662,+00.0060,+00.0010,-09.4330,+00.000246,-00.000299,-00.000187
-014.213,+000.017,+000.018,-0.090,+1.137,+2.625,-00.0110,-00.0060,-09.4060,+00.000163,-00.000678,+00.001460
-014.213,+000.017,+000.018,-0.090,+1.123,+2.646,+00.0140,-00.0160,-09.4070,+00.001398,-00.001765,-00.000108
-014.213,+000.017,+000.019,-0.099,+1.142,+2.667,+00.0120,-00.0100,-09.4410,+00.000511,+00.000298,+00.000859
-014.212,+000.018,+000.020,-0.076,+1.137,+2.636,-00.0020,+00.0030,-09.4270,+00.000554,+00.000165,-00.001298
-014.212,+000.018,+000.020,-0.094,+1.132,+2.641,+00.0090,-00.0080,-09.4210,+00.000669,-00.000122,-00.000979
-014.213,+000.019,+000.021,-0.094,+1.133,+2.667,+00.0060,-00.0120,-09.4250,+00.001054,+00.000108,-00.000272
-014.213,+000.018,+000.023,-0.099,+1.142,+2.640,+00.0040,-00.0220,-09.4350,+00.000368,-00.000020,-00.000282
-014.214,+000.019,+000.024,-0.090,+1.132,+2.625,+00.0160,-00.0180,-09.4470,-00.000459,+00.000797,-00.000148
-014.215,+000.019,+000.024,-0.090,+1.123,+2.652,+00.0120,+00.0040,-09.4350,+00.000698,+00.000579,-00.000867
-014.215,+000.019,+000.022,-0.071,+1.186,+2.647,-00.0100,+00.0220,-09.4190,-00.000624,-00.000500,-00.000033
-014.215,+000.019,+000.022,-0.090,+1.152,+2.641,+00.0070,+00.0100,-09.4590,+00.000736,-00.000182,-00.001464
-014.215,+000.018,+000.022,-0.090,+1.137,+2.651,+00.0130,-00.0240,-09.4320,-00.000356,+00.000455,-00.000997
-014.215,+000.019,+000.021,-0.085,+1.147,+2.635,+00.0270,-00.0030,-09.4360,+00.001961,+00.000151,+00.000272
-014.215,+000.019,+000.021,-0.094,+1.142,+2.640,+00.0110,+00.0040,-09.4240,-00.000268,-00.000335,-00.000490
-014.216,+000.020,+000.021,-0.090,+1.172,+2.673,-00.0010,+00.0120,-09.3850,-00.000927,-00.000062,-00.000109
-014.215,+000.020,+000.021,-0.090,+1.157,+2.646,+00.0150,-00.0060,-09.4320,-00.000599,-00.000448,-00.000301
-014.216,+000.019,+000.022,-0.090,+1.137,+2.651,+00.0080,-00.0120,-09.4410,+00.000703,-00.000859,-00.000447
-014.216,+000.019,+000.022,-0.094,+1.137,+2.640,+00.0150,+00.0000,-09.4330,+00.000182,+00.000081,-00.000422
-014.216,+000.018,+000.023,-0.085,+1.152,+2.652,-00.0030,-00.0190,-09.4260,+00.000970,+00.000196,+00.000400
-014.218,+000.019,+000.021,-0.094,+1.142,+2.646,+00.0150,+00.0010,-09.4470,+00.000022,+00.000588,-00.000717
-014.218,+000.020,+000.019,-0.099,+1.133,+2.662,+00.0060,+00.0110,-09.4670,-00.001071,+00.000880,-00.000277
-014.218,+000.020,+000.019,-0.085,+1.152,+2.652,-00.0090,-00.0010,-09.4200,-00.000128,+00.000003,+00.000234
-014.218,+000.019,+000.018,-0.090,+1.142,+2.614,-00.0050,+00.0180,-09.3990,+00.000439,-00.000517,-00.000845
-014.218,+000.019,+000.018,-0.104,+1.152,+2.672,+00.0160,-00.0110,-09.4070,+00.001859,-00.000450,-00.000026
-014.219,+000.019,+000.019,-0.076,+1.152,+2.647,-00.0020,-00.0050,-09.4290,+00.000078,-00.000617,-00.000723
-014.219,+000.020,+000.020,-0.094,+1.123,+2.651,+00.0110,-00.0190,-09.4420,+00.000630,+00.000609,-00.000324
-014.220,+000.019,+000.020,-0.094,+1.162,+2.667,-00.0050,-00.0270,-09.4010,+00.000201,-00.000090,-00.000721
-014.219,+000.018,+000.018,-0.085,+1.167,+2.646,+00.0020,+00.0070,-09.4220,-00.000130,-00.000124,-00.000344
-014.220,+000.017,+000.019,-0.090,+1.142,+2.657,+00.0130,-00.0070,-09.4460,+00.000568,-00.000914,-00.000918
-014.219,+000.017,+000.018,-0.085,+1.142,+2.657,-00.0020,+00.0160,-09.4170,+00.001959,+00.000386,-00.000826
-014.219,+000.016,+000.020,-0.085,+1.137,+2.652,+00.0000,-00.0240,-09.4760,+00.000212,-00.000572,-00.000068
-014.219,+000.016,+000.020,-0.080,+1.137,+2.641,+00.0110,+00.0070,-09.4110,+00.000056,-00.000399,-00.001003
-014.219,+000.017,+000.020,-0.094,+1.132,+2.651,+00.0250,+00.0100,-09.4200,-00.000688,-00.001265,-00.000692
-014.219,+000.017,+000.019,-0.094,+1.157,+2.651,+00.0190,+00.0150,-09.4060,-00.000322,-00.001427,-00.000589
-014.220,+000.017,+000.019,-0.094,+1.147,+2.662,+00.0160,+00.0000,-09.4170,+00.000331,+00.000413,+00.000407
-014.221,+000.018,+000.019,-0.090,+1.123,+2.678,+00.0020,-00.0260,-09.4060,-00.000656,+00.000262,-00.000123
-014.221,+000.019,+000.019,-0.085,+1.147,+2.635,+00.0060,+00.0140,-09.4290,-00.000186,+00.000209,-00.000152
-014.220,+000.020,+000.018,-0.076,+1.142,+2.641,+00.0020,+00.0210,-09.3870,+00.000336,-00.000185,+00.001720
-014.220,+000.021,+000.019,-0.094,+1.123,+2.673,+00.0240,-00.0020,-09.4350,+00.000922,+00.000671,+00.000163
-014.220,+000.022,+000.018,-0.085,+1.142,+2.652,-00.0050,+00.0150,-09.4060,+00.000564,-00.000357,-00.000509
-014.221,+000.022,+000.017,-0.094,+1.132,+2.635,+00.0260,+00.0110,-09.4470,-00.000802,-00.001478,-00.000869
-014.221,+000.024,+000.017,-0.085,+1.162,+2.651,+00.0080,+00.0140,-09.4770,-00.000624,-00.000379,+00.000007
-014.222,+000.025,+000.016,-0.090,+1.157,+2.646,+00.0040,+00.0120,-09.4340,-00.000308,-00.000304,-00.000263
-014.221,+000.026,+000.016,-0.094,+1.137,+2.640,+00.0040,+00.0050,-09.4310,+00.000326,+00.000289,-00.000197
-014.221,+000.026,+000.015,-0.090,+1.162,+2.678,+00.0050,-00.0140,-09.4220,+00.000696,+00.000100,-00.001070
-014.221,+000.027,+000.015,-0.090,+1.152,+2.651,+00.0120,+00.0090,-09.4050,+00.000606,+00.001108,-00.000141
-014.221,+000.027,+000.015,-0.085,+1.152,+2.630,+00.0190,-00.0090,-09.4120,+00.000582,-00.000583,+00.000266
-014.221,+000.027,+000.015,-0.090,+1.137,+2.657,-00.0050,-00.0030,-09.4540,-00.000802,-00.000137,-00.000322
-014.221,+000.026,+000.014,-0.080,+1.152,+2.619,+00.0030,+00.0090,-09.4250,-00.000326,-00.000731,-00.000345
-014.221,+000.025,+000.015,-0.085,+1.137,+2.668,+00.0000,+00.0030,-09.4710,+00.001221,-00.000599,-00.000798
-014.220,+000.025,+000.015,-0.099,+1.138,+2.667,+00.0020,-00.0130,-09.4070,-00.000857,-00.000823,-00.000313
-014.221,+000.026,+000.016,-0.094,+1.147,+2.635,-00.0010,+00.0080,-09.4180,-00.001020,+00.000652,-00.000184
-014.221,+000.027,+000.015,-0.094,+1.142,+2.640,+00.0050,+00.0150,-09.3930,+00.000144,-00.000117,+00.000714
-014.221,+000.029,+000.014,-0.090,+1.162,+2.662,+00.0110,+00.0070,-09.4150,+00.001125,-00.000347,-00.001814
-014.221,+000.028,+000.013,-0.080,+1.162,+2.641,+00.0180,+00.0120,-09.4380,+00.000595,-00.000300,-00.000216
-014.221,+000.029,+000.012,-0.090,+1.157,+2.662,-00.0060,+00.0190,-09.4330,-00.000130,-00.000117,+00.000168
-014.221,+000.029,+000.013,-0.090,+1.142,+2.662,+00.0240,+00.0090,-09.3910,+00.001665,+00.000274,-00.000541
-014.222,+000.030,+000.012,-0.090,+1.147,+2.641,+00.0080,+00.0210,-09.3970,-00.000542,-00.000194,+00.000186
-014.222,+000.030,+000.011,-0.085,+1.137,+2.646,+00.0230,-00.0060,-09.4200,-00.000545,-00.000837,-00.000636
-014.221,+000.030,+000.011,-0.085,+1.162,+2.673,-00.0120,+00.0070,-09.3960,+00.000079,-00.000479,-00.000077
-014.221,+000.030,+000.012,-0.085,+1.187,+2.651,+00.0020,+00.0060,-09.4100,+00.000954,+00.000329,-00.000856
-014.221,+000.031,+000.012,-0.090,+1.147,+2.646,+00.0210,-00.0280,-09.4480,-00.000464,-00.000673,-00.000128
-014.221,+000.031,+000.012,-0.094,+1.147,+2.673,+00.0000,-00.0100,-09.4210,-00.000881,-00.000383,+00.000832
-014.221,+000.032,+000.012,-0.090,+1.182,+2.651,-00.0040,+00.0070,-09.4390,+00.001362,-00.000284,-00.001064
-014.222,+000.033,+000.012,-0.090,+1.137,+2.614,+00.0220,+00.0040,-09.4510,-00.000517,-00.000752,-00.000234
-014.221,+000.032,+000.011,-0.090,+1.142,+2.673,-00.0120,-00.0010,-09.3970,+00.000690,+00.000200,-00.000882
-014.221,+000.033,+000.011,-0.085,+1.167,+2.641,+00.0010,+00.0020,-09.4080,+00.000817,+00.000140,-00.000588
-014.220,+000.033,+000.012,-0.085,+1.157,+2.641,+00.0050,-00.0070,-09.4430,+00.000501,-00.000723,-00.000710
-014.220,+000.033,+000.013,-0.094,+1.142,+2.651,-00.0030,-00.0170,-09.3940,+00.001104,-00.000680,+00.000010
-014.219,+000.034,+000.013,-0.085,+1.157,+2.635,+00.0210,-00.0160,-09.3830,-00.001162,+00.000835,+00.001362
-014.220,+000.034,+000.015,-0.090,+1.137,+2.651,-00.0040,-00.0170,-09.4300,+00.001152,+00.000851,-00.000491
-014.220,+000.035,+000.015,-0.085,+1.162,+2.657,+00.0340,+00.0120,-09.4360,+00.000504,+00.000000,-00.000600
-014.219,+000.036,+000.015,-0.085,+1.132,+2.662,+00.0210,+00.0020,-09.4240,-00.000184,+00.000534,-00.000027
-014.219,+000.036,+000.014,-0.090,+1.182,+2.646,-00.0130,+00.0020,-09.4160,+00.000023,-00.000970,-00.001363
-014.219,+000.035,+000.014,-0.094,+1.137,+2.646,+00.0110,-00.0090,-09.4260,+00.000509,-00.000611,-00.001138
-014.219,+000.035,+000.012,-0.085,+1.206,+2.646,+00.0110,+00.0070,-09.4310,+00.000204,-00.000522,+00.000621
-014.219,+000.035,+000.011,-0.085,+1.157,+2.651,+00.0310,+00.0200,-09.3870,+00.000427,-00.000497,+00.000660
-014.218,+000.035,+000.011,-0.103,+1.147,+2.677,+00.0130,+00.0020,-09.4200,+00.000758,-00.000638,-00.000026
-014.218,+000.035,+000.010,-0.090,+1.182,+2.646,-00.0030,-00.0250,-09.4000,-00.000138,+00.000127,+00.000376
-014.218,+000.036,+000.010,-0.099,+1.132,+2.640,+00.0040,-00.0160,-09.4360,+00.000332,+00.000580,+00.000065
-014.218,+000.035,+000.011,-0.094,+1.137,+2.656,-00.0030,-00.0080,-09.4300,+00.000813,-00.000081,+00.000086
-014.219,+000.035,+000.011,-0.099,+1.157,+2.640,+00.0010,+00.0050,-09.4350,-00.000323,-00.000310,+00.000132
-014.219,+000.033,+000.012,-0.080,+1.147,+2.625,-00.0120,-00.0180,-09.4160,+00.001354,-00.000279,-00.000670
-014.219,+000.033,+000.011,-0.094,+1.152,+2.667,+00.0060,+00.0140,-09.4260,-00.000061,-00.000525,+00.000264
-014.219,+000.033,+000.010,-0.090,+1.157,+2.640,+00.0280,-00.0070,-09.4410,+00.000120,-00.000818,+00.000260
-014.220,+000.034,+000.011,-0.090,+1.127,+2.635,+00.0220,-00.0010,-09.3780,+00.001597,-00.001126,-00.000341
-014.220,+000.034,+000.011,-0.090,+1.147,+2.662,+00.0000,-00.0020,-09.4130,+00.000869,+00.001140,+00.000120
-014.220,+000.034,+000.012,-0.094,+1.147,+2.646,-00.0200,-00.0060,-09.4310,+00.001299,-00.000449,-00.000576
-014.220,+000.034,+000.013,-0.085,+1.132,+2.657,+00.0200,-00.0050,-09.4500,+00.000059,+00.000450,-00.000079
-014.221,+000.035,+000.013,-0.090,+1.142,+2.651,+00.0180,+00.0140,-09.4500,+00.000496,+00.001301,+00.000151
-014.221,+000.034,+000.012,-0.099,+1.152,+2.651,+00.0020,+00.0000,-09.4320,+00.000543,-00.000605,-00.000423
-014.220,+000.034,+000.012,-0.085,+1.157,+2.662,+00.0130,+00.0200,-09.4130,+00.000198,-00.000300,+00.000465
-014.220,+000.036,+000.012,-0.104,+1.147,+2.651,+00.0170,-00.0060,-09.4370,+00.000927,+00.000383,+00.000342
-014.220,+000.035,+000.011,-0.090,+1.152,+2.640,-00.0130,+00.0270,-09.4200,+00.000578,-00.000872,+00.000593
-014.221,+000.034,+000.010,-0.094,+1.142,+2.646,+00.0230,+00.0090,-09.4170,-00.000210,-00.000139,-00.000724
-014.220,+000.034,+000.010,-0.099,+1.138,+2.667,+00.0100,+00.0020,-09.4230,-00.000745,-00.001667,-00.000097
