Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-017.563,-000.277,+179.924,-0.125,-0.791,-1.326,-00.0490,-00.0280,+10.2120,-00.000909,-00.000120,-00.000087
-017.563,-000.279,+179.924,-0.135,-0.776,-1.310,-00.0930,-00.0180,+10.2000,+00.000662,-00.000211,-00.000007
-017.563,-000.280,+179.924,-0.130,-0.811,-1.331,-00.0470,-00.0070,+10.2230,-00.000436,-00.000836,-00.000711
-017.563,-000.281,+179.925,-0.130,-0.806,-1.294,-00.0760,+00.0100,+10.2180,-00.000789,-00.000403,-00.000293
-017.562,-000.282,+179.926,-0.135,-0.747,-1.305,-00.0500,+00.0040,+10.1950,-00.000022,+00.000353,-00.000027
-017.563,-000.282,+179.924,-0.130,-0.791,-1.310,-00.0640,-00.0220,+10.2400,-00.000054,-00.000459,+00.000989
-017.563,-000.282,+179.923,-0.125,-0.796,-1.288,-00.0590,-00.0350,+10.2000,-00.000225,-00.000167,+00.000656
-017.562,-000.281,+179.923,-0.130,-0.766,-1.310,-00.0380,+00.0200,+10.2080,-00.001250,+00.000197,-00.000273
-017.563,-000.281,+179.923,-0.135,-0.791,-1.310,-00.0400,-00.0220,+10.2050,-00.000214,-00.000430,+00.000909
-017.564,-000.280,+179.922,-0.125,-0.810,-1.299,-00.0460,-00.0060,+10.2310,-00.000640,-00.001622,+00.000895
-017.564,-000.280,+179.922,-0.135,-0.801,-1.321,-00.0420,-00.0020,+10.2190,-00.000633,-00.000643,-00.000441
-017.564,-000.280,+179.922,-0.125,-0.791,-1.315,-00.0240,-00.0080,+10.2050,-00.000489,+00.002190,+00.000349
-017.564,-000.279,+179.923,-0.125,-0.781,-1.283,-00.0650,-00.0030,+10.2010,-00.000792,-00.001008,+00.000120
-017.564,-000.279,+179.923,-0.121,-0.761,-1.320,-00.0590,-00.0140,+10.2040,+00.000529,-00.000702,-00.001310
-017.565,-000.279,+179.922,-0.125,-0.781,-1.310,-00.0610,-00.0020,+10.2090,-00.002127,-00.001247,+00.000397
-017.565,-000.278,+179.922,-0.135,-0.786,-1.310,-00.0610,-00.0080,+10.1960,-00.000991,-00.001200,+00.000565
-017.565,-000.279,+179.923,-0.125,-0.747,-1.315,-00.0560,+00.0020,+10.1940,-00.000032,+00.000241,-00.000441
-017.565,-000.279,+179.923,-0.135,-0.771,-1.299,-00.0330,-00.0060,+10.2110,-00.000597,+00.001046,-00.001421
-017.565,-000.278,+179.923,-0.130,-0.761,-1.288,-00.0440,+00.0030,+10.2130,-00.000226,-00.001155,-00.000823
-017.565,-000.277,+179.923,-0.130,-0.752,-1.326,-00.0450,+00.0000,+10.2320,-00.000778,-00.000796,+00.000082
-017.565,-000.277,+179.924,-0.139,-0.810,-1.315,-00.0360,+00.0030,+10.2070,-00.001037,+00.000153,+00.000491
-017.566,-000.276,+179.924,-0.130,-0.810,-1.299,-00.0540,-00.0070,+10.1960,+00.000223,-00.001034,+00.001763
-017.566,-000.276,+179.924,-0.139,-0.781,-1.326,-00.0450,-00.0080,+10.1900,+00.000120,-00.000345,+00.000611
-017.567,-000.276,+179.922,-0.130,-0.801,-1.304,-00.0430,-00.0320,+10.2200,-00.000931,+00.000685,+00.000664
