sep=,
DeviceTag:,A,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-05 17:04:28.227 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 220298458, -5.352154731750488, 2.4850869178771973, 7.844512462615967, -2.603364944458008, -1.4766108989715576, -2.5344667434692383, 0.068359375, -0.190673828125, -0.79931640625
2, 220315125, -5.346190929412842, 2.4876415729522705, 7.873135566711426, -2.5595157146453857, -1.5877187252044678, -2.4014344215393066, 0.0693359375, -0.19482421875, -0.800048828125
3, 220331792, -5.349410533905029, 2.503098487854004, 7.856815338134766, -2.506510019302368, -1.6838558912277222, -2.312199354171753, 0.06884765625, -0.190185546875, -0.7998046875
4, 220348459, -5.337270736694336, 2.521709680557251, 7.877508163452148, -2.546504259109497, -1.8309240341186523, -2.2807469367980957, 0.068359375, -0.19189453125, -0.80126953125
5, 220365126, -5.337515354156494, 2.4951491355895996, 7.892356872558594, -2.5814402103424072, -1.6832669973373413, -2.2952566146850586, 0.06640625, -0.1923828125, -0.80078125
6, 220381793, -5.341415882110596, 2.48518705368042, 7.886200428009033, -2.4108080863952637, -1.6949843168258667, -2.361593246459961, 0.06787109375, -0.19189453125, -0.80078125
7, 220398460, -5.33646821975708, 2.51122784614563, 7.881363391876221, -2.455591917037964, -1.7071762084960938, -2.3264529705047607, 0.0673828125, -0.19140625, -0.80078125
8, 220415127, -5.330138683319092, 2.506922483444214, 7.874650001525879, -2.4679243564605713, -1.6173266172409058, -2.298534870147705, 0.068359375, -0.19091796875, -0.80078125
9, 220431794, -5.327751636505127, 2.4993627071380615, 7.8754682540893555, -2.344356060028076, -1.559967041015625, -2.4093611240386963, 0.068359375, -0.190185546875, -0.80029296875
10, 220448461, -5.336625099182129, 2.5091793537139893, 7.891687393188477, -2.301762104034424, -1.4117591381072998, -2.307985782623291, 0.06787109375, -0.1904296875, -0.804931640625
11, 220465128, -5.335323810577393, 2.5050017833709717, 7.87742805480957, -2.270796537399292, -1.538477897644043, -2.2547497749328613, 0.06884765625, -0.190185546875, -0.80126953125
12, 220481795, -5.331483364105225, 2.4959464073181152, 7.856064319610596, -2.2167279720306396, -1.399067997932434, -2.293412208557129, 0.068359375, -0.19091796875, -0.80126953125
13, 220498462, -5.3384294509887695, 2.5008463859558105, 7.904125213623047, -2.1794357299804688, -1.3001903295516968, -2.2264606952667236, 0.06689453125, -0.190673828125, -0.80126953125
14, 220515129, -5.328702449798584, 2.5044755935668945, 7.87137508392334, -2.1781165599823, -1.3041857481002808, -2.3100733757019043, 0.068359375, -0.19140625, -0.802734375
15, 220531796, -5.340092658996582, 2.524838447570801, 7.872419357299805, -2.207148790359497, -1.296271562576294, -2.300045967102051, 0.0673828125, -0.1923828125, -0.7998046875
16, 220548463, -5.323034286499023, 2.523590564727783, 7.880512237548828, -2.4042770862579346, -1.325918436050415, -2.444373846054077, 0.0693359375, -0.190185546875, -0.798095703125
17, 220565130, -5.349766731262207, 2.4961957931518555, 7.878490924835205, -2.4472293853759766, -1.3606746196746826, -2.5220696926116943, 0.068359375, -0.1923828125, -0.798583984375
18, 220581797, -5.31704044342041, 2.5095643997192383, 7.845860958099365, -2.4236016273498535, -1.293236494064331, -2.464992046356201, 0.06591796875, -0.19189453125, -0.80078125
19, 220598464, -5.327057361602783, 2.527968406677246, 7.875215530395508, -2.428007125854492, -1.4723460674285889, -2.61234188079834, 0.068359375, -0.19140625, -0.8017578125
20, 220615131, -5.339252471923828, 2.511617422103882, 7.89431095123291, -2.588740110397339, -1.3928828239440918, -2.6756696701049805, 0.0673828125, -0.1923828125, -0.80126953125
21, 220631798, -5.3470916748046875, 2.5070126056671143, 7.866224765777588, -2.5864477157592773, -1.4721285104751587, -2.647329092025757, 0.06640625, -0.19287109375, -0.798828125
22, 220648465, -5.338840007781982, 2.516305685043335, 7.860353946685791, -2.6740174293518066, -1.5393747091293335, -2.5196878910064697, 0.06640625, -0.19189453125, -0.80029296875
23, 220665132, -5.32090425491333, 2.5276947021484375, 7.88333797454834, -2.6939826011657715, -1.518743634223938, -2.620166778564453, 0.06689453125, -0.19140625, -0.80029296875
24, 220681799, -5.316242218017578, 2.5231199264526367, 7.867557525634766, -2.7906312942504883, -1.3777709007263184, -2.8152198791503906, 0.06640625, -0.19189453125, -0.802734375
25, 220698466, -5.31608772277832, 2.5253207683563232, 7.8710737228393555, -2.841613531112671, -1.307144045829773, -2.844226121902466, 0.0673828125, -0.19189453125, -0.8017578125
26, 220715133, -5.355209827423096, 2.5004899501800537, 7.865153789520264, -2.7466418743133545, -1.2222251892089844, -2.8880109786987305, 0.06787109375, -0.19287109375, -0.80029296875
27, 220731800, -5.345513343811035, 2.497485399246216, 7.857872009277344, -2.748255729675293, -1.2454560995101929, -2.71250057220459, 0.068359375, -0.1923828125, -0.80078125
28, 220748467, -5.3442206382751465, 2.5083954334259033, 7.868057727813721, -2.766056776046753, -1.2973090410232544, -2.6663079261779785, 0.0673828125, -0.191162109375, -0.80078125
29, 220765134, -5.327261924743652, 2.5057311058044434, 7.867733478546143, -2.8451740741729736, -1.371598482131958, -2.790951728820801, 0.06884765625, -0.19091796875, -0.7998046875
30, 220781801, -5.347268581390381, 2.5150341987609863, 7.8637566566467285, -2.9330899715423584, -1.4905694723129272, -2.7389965057373047, 0.06689453125, -0.191162109375, -0.80126953125
31, 220798468, -5.338507652282715, 2.503013849258423, 7.875054836273193, -2.99330472946167, -1.528578758239746, -2.7718193531036377, 0.068359375, -0.190185546875, -0.7998046875
32, 220815135, -5.322072982788086, 2.5111093521118164, 7.876998424530029, -2.9026999473571777, -1.5367618799209595, -2.6548585891723633, 0.06640625, -0.1923828125, -0.80078125
33, 220831802, -5.3160295486450195, 2.519409656524658, 7.880382061004639, -2.7829477787017822, -1.3777581453323364, -2.6661152839660645, 0.0693359375, -0.189697265625, -0.79931640625
34, 220848469, -5.3460307121276855, 2.483429431915283, 7.888375282287598, -2.6365203857421875, -1.2373367547988892, -2.7593846321105957, 0.06787109375, -0.19091796875, -0.80078125
35, 220865136, -5.350640296936035, 2.4790875911712646, 7.876260280609131, -2.717507839202881, -1.2042838335037231, -2.7548766136169434, 0.06787109375, -0.190185546875, -0.80078125
36, 220881803, -5.3468122482299805, 2.4858100414276123, 7.860048294067383, -2.7239491939544678, -1.3354462385177612, -2.5784308910369873, 0.0693359375, -0.189208984375, -0.8037109375
37, 220898470, -5.330521106719971, 2.487109661102295, 7.869978904724121, -2.565957546234131, -1.4038194417953491, -2.5977046489715576, 0.06982421875, -0.189697265625, -0.8017578125
38, 220915137, -5.347671031951904, 2.4952502250671387, 7.853428840637207, -2.503065347671509, -1.3720979690551758, -2.5065741539001465, 0.0693359375, -0.190185546875, -0.80029296875
39, 220931804, -5.336514949798584, 2.4871296882629395, 7.881844997406006, -2.3891525268554688, -1.3024569749832153, -2.3832106590270996, 0.06884765625, -0.1923828125, -0.80029296875
40, 220948471, -5.343650817871094, 2.4845705032348633, 7.888204574584961, -2.316168785095215, -1.3188105821609497, -2.2780702114105225, 0.06787109375, -0.19140625, -0.80029296875
41, 220965138, -5.343562126159668, 2.4965949058532715, 7.884963035583496, -2.2060859203338623, -1.2191261053085327, -2.2885842323303223, 0.068359375, -0.1904296875, -0.80224609375
42, 220981805, -5.357494354248047, 2.490215539932251, 7.857117652893066, -2.162480115890503, -1.194243311882019, -2.2998666763305664, 0.068359375, -0.19140625, -0.80224609375
