sep=,
DeviceTag:,B,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-03 15:35:26.650 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 910930035, -5.032966613769531, -1.2963769435882568, 8.168802261352539, -0.09378089010715485, -0.7852597236633301, -0.8823574781417847, -0.21923828125, 0.344970703125, -1.395751953125
2, 910946702, -5.027535915374756, -1.2973917722702026, 8.199112892150879, -0.15837612748146057, -0.9173188805580139, -0.8394691348075867, -0.22119140625, 0.343505859375, -1.397705078125
3, 910963369, -5.022132396697998, -1.3023587465286255, 8.162064552307129, -0.12446492165327072, -1.0052217245101929, -0.8119994401931763, -0.220703125, 0.343994140625, -1.395751953125
4, 910980036, -5.009669780731201, -1.3155992031097412, 8.203802108764648, -0.03256654739379883, -0.9455184936523438, -0.7997181415557861, -0.21826171875, 0.342529296875, -1.396728515625
5, 910996703, -5.006572246551514, -1.3064260482788086, 8.207747459411621, -0.07240709662437439, -0.722675085067749, -0.7696999907493591, -0.220703125, 0.343994140625, -1.398193359375
6, 911013370, -5.020074844360352, -1.299091100692749, 8.172713279724121, -0.1156669482588768, -0.6768156290054321, -0.7458289861679077, -0.21875, 0.343505859375, -1.399658203125
7, 911030037, -5.035595893859863, -1.2959688901901245, 8.181133270263672, -0.23372870683670044, -0.7977074980735779, -0.8561813831329346, -0.22119140625, 0.343994140625, -1.396728515625
8, 911046704, -5.01458215713501, -1.301356554031372, 8.187212944030762, -0.10861065983772278, -0.8946772813796997, -0.8648256659507751, -0.21923828125, 0.341064453125, -1.398681640625
9, 911063371, -5.024830341339111, -1.3038524389266968, 8.201065063476562, -0.12032847106456757, -0.9270005226135254, -0.8431188464164734, -0.21923828125, 0.344482421875, -1.397705078125
10, 911080038, -5.011107921600342, -1.30182683467865, 8.19723892211914, -0.03918743133544922, -0.9545981287956238, -0.8433622121810913, -0.21826171875, 0.343994140625, -1.396728515625
11, 911096705, -5.017973899841309, -1.310470461845398, 8.204582214355469, -0.0926155298948288, -0.9401013851165771, -0.8370999097824097, -0.22119140625, 0.341552734375, -1.398681640625
12, 911113372, -5.02772331237793, -1.3026938438415527, 8.212544441223145, -0.0439641997218132, -1.0030701160430908, -0.884060800075531, -0.22021484375, 0.342529296875, -1.395751953125
