sep=,
DeviceTag:,A,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-05 16:07:31.651 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 1098714091, -5.202188491821289, 1.5088249444961548, 8.2210111618042, -2.6638622283935547, -1.6844323873519897, -2.3828394412994385, 0.05859375, -0.163818359375, -0.828857421875
2, 1098730758, -5.2000250816345215, 1.5173808336257935, 8.19998550415039, -2.6557810306549072, -1.6064285039901733, -2.40203595161438, 0.05859375, -0.163818359375, -0.831298828125
3, 1098747425, -5.196190357208252, 1.4909542798995972, 8.198219299316406, -2.535388708114624, -1.508447527885437, -2.4504828453063965, 0.05908203125, -0.163330078125, -0.829833984375
4, 1098764092, -5.1965508460998535, 1.5091073513031006, 8.214731216430664, -2.534517288208008, -1.4061883687973022, -2.4500083923339844, 0.06201171875, -0.164306640625, -0.828125
5, 1098780759, -5.202796936035156, 1.507924199104309, 8.19058609008789, -2.465325117111206, -1.4713473320007324, -2.3946595191955566, 0.06201171875, -0.162353515625, -0.82958984375
6, 1098797426, -5.217169761657715, 1.5070313215255737, 8.21143913269043, -2.6521058082580566, -1.5110470056533813, -2.432246446609497, 0.06103515625, -0.163818359375, -0.83056640625
7, 1098814093, -5.211709499359131, 1.4998347759246826, 8.208020210266113, -2.5313291549682617, -1.5067569017410278, -2.4191200733184814, 0.058349609375, -0.163330078125, -0.828369140625
8, 1098830760, -5.207253932952881, 1.5111409425735474, 8.191523551940918, -2.6033775806427, -1.5553313493728638, -2.3757574558258057, 0.05908203125, -0.164306640625, -0.830810546875
9, 1098847427, -5.203629016876221, 1.4982414245605469, 8.203943252563477, -2.580082893371582, -1.6367413997650146, -2.3610048294067383, 0.0595703125, -0.162841796875, -0.830322265625
10, 1098864094, -5.200218677520752, 1.499153733253479, 8.208151817321777, -2.5203921794891357, -1.5531286001205444, -2.318448781967163, 0.0595703125, -0.165771484375, -0.830810546875
11, 1098880761, -5.200429439544678, 1.511497974395752, 8.2191801071167, -2.5523948669433594, -1.4665191173553467, -2.3695459365844727, 0.06005859375, -0.163818359375, -0.8271484375
12, 1098897428, -5.213563442230225, 1.5093929767608643, 8.217763900756836, -2.5577993392944336, -1.5116229057312012, -2.3442277908325195, 0.0576171875, -0.164306640625, -0.830322265625
13, 1098914095, -5.210883617401123, 1.4929425716400146, 8.206631660461426, -2.594374656677246, -1.5570347309112549, -2.3567142486572266, 0.060546875, -0.163818359375, -0.82861328125
14, 1098930762, -5.212394714355469, 1.5008957386016846, 8.199796676635742, -2.596449375152588, -1.5280922651290894, -2.356727123260498, 0.060546875, -0.163818359375, -0.830078125
15, 1098947429, -5.207630157470703, 1.5041142702102661, 8.19133186340332, -2.5976150035858154, -1.5447661876678467, -2.3149147033691406, 0.05810546875, -0.164794921875, -0.829833984375
16, 1098964096, -5.208949089050293, 1.502279281616211, 8.180431365966797, -2.5740509033203125, -1.5874241590499878, -2.3958635330200195, 0.06103515625, -0.163330078125, -0.830078125
17, 1098980763, -5.2183709144592285, 1.509386420249939, 8.212570190429688, -2.686209201812744, -1.6179544925689697, -2.2526886463165283, 0.060546875, -0.161865234375, -0.829833984375
18, 1098997430, -5.206294536590576, 1.5024011135101318, 8.22126579284668, -2.509570837020874, -1.5190765857696533, -2.2548654079437256, 0.05859375, -0.165283203125, -0.828125
19, 1099014097, -5.2086639404296875, 1.4918224811553955, 8.194557189941406, -2.5161402225494385, -1.641594648361206, -2.2989444732666016, 0.057861328125, -0.165283203125, -0.828125
20, 1099030764, -5.199894428253174, 1.5109511613845825, 8.204028129577637, -2.6301681995391846, -1.7418813705444336, -2.2441976070404053, 0.05859375, -0.162841796875, -0.828857421875
21, 1099047431, -5.2057294845581055, 1.5112011432647705, 8.214683532714844, -2.756695032119751, -1.7457491159439087, -2.36395001411438, 0.0595703125, -0.164306640625, -0.82958984375
22, 1099064098, -5.211792469024658, 1.493088722229004, 8.216302871704102, -2.899280548095703, -1.7481435537338257, -2.3721072673797607, 0.05810546875, -0.163330078125, -0.831298828125
23, 1099080765, -5.192129611968994, 1.5302385091781616, 8.192099571228027, -2.9965579509735107, -1.7955653667449951, -2.403790235519409, 0.05859375, -0.164306640625, -0.829833984375
24, 1099097432, -5.193169593811035, 1.5069828033447266, 8.201207160949707, -2.8191514015197754, -1.7769578695297241, -2.468923330307007, 0.05859375, -0.163818359375, -0.830322265625
25, 1099114099, -5.192107200622559, 1.5013060569763184, 8.232474327087402, -2.6562676429748535, -1.58780837059021, -2.428762912750244, 0.05810546875, -0.163330078125, -0.829345703125
26, 1099130766, -5.195883274078369, 1.4948716163635254, 8.213919639587402, -2.5231454372406006, -1.5159389972686768, -2.349222421646118, 0.05810546875, -0.164794921875, -0.829345703125
27, 1099147433, -5.198822021484375, 1.5057748556137085, 8.203177452087402, -2.5246694087982178, -1.4551982879638672, -2.2603976726531982, 0.06005859375, -0.163330078125, -0.832275390625
28, 1099164100, -5.1981096267700195, 1.5037871599197388, 8.207199096679688, -2.5216469764709473, -1.611973524093628, -2.2664802074432373, 0.057373046875, -0.163330078125, -0.831298828125
29, 1099180767, -5.188614845275879, 1.506514549255371, 8.207463264465332, -2.41402268409729, -1.5396050214767456, -2.3204593658447266, 0.058349609375, -0.162841796875, -0.828369140625
30, 1099197434, -5.203128814697266, 1.516671061515808, 8.21252727508545, -2.4587552547454834, -1.5122122764587402, -2.3879106044769287, 0.058837890625, -0.164794921875, -0.826171875
31, 1099214101, -5.203216552734375, 1.5105721950531006, 8.19265079498291, -2.5558016300201416, -1.5919703245162964, -2.3850162029266357, 0.057861328125, -0.162841796875, -0.829345703125
32, 1099230768, -5.196031093597412, 1.5135070085525513, 8.212625503540039, -2.6851208209991455, -1.6769660711288452, -2.466784954071045, 0.05859375, -0.163330078125, -0.828857421875
33, 1099247435, -5.1885576248168945, 1.4857271909713745, 8.200543403625488, -2.688770294189453, -1.6902974843978882, -2.4767866134643555, 0.056884765625, -0.162841796875, -0.828369140625
34, 1099264102, -5.196246147155762, 1.494481086730957, 8.220765113830566, -2.670405864715576, -1.5905359983444214, -2.4060957431793213, 0.0595703125, -0.165283203125, -0.82958984375
35, 1099280769, -5.191147804260254, 1.502947211265564, 8.231300354003906, -2.55175518989563, -1.6026252508163452, -2.4668233394622803, 0.057861328125, -0.165771484375, -0.8271484375
36, 1099297436, -5.179559230804443, 1.5035263299942017, 8.211406707763672, -2.534235715866089, -1.4604617357254028, -2.375744104385376, 0.057861328125, -0.164306640625, -0.82763671875
37, 1099314103, -5.1857500076293945, 1.4897387027740479, 8.22272777557373, -2.5560197830200195, -1.511584758758545, -2.367676258087158, 0.05810546875, -0.164794921875, -0.829833984375
38, 1099330770, -5.185914993286133, 1.4781960248947144, 8.226362228393555, -2.3771274089813232, -1.3658100366592407, -2.265263795852661, 0.05859375, -0.164306640625, -0.829833984375
39, 1099347437, -5.1892619132995605, 1.5231189727783203, 8.198002815246582, -2.2116692066192627, -1.2720930576324463, -2.1831111907958984, 0.057861328125, -0.163818359375, -0.828369140625
40, 1099364104, -5.204925537109375, 1.514207363128662, 8.211685180664062, -2.2878804206848145, -1.301675796508789, -2.171342372894287, 0.05908203125, -0.164794921875, -0.829833984375
41, 1099380771, -5.194510459899902, 1.4964817762374878, 8.21483325958252, -2.3708910942077637, -1.4216458797454834, -2.345560073852539, 0.060546875, -0.163330078125, -0.8291015625
42, 1099397438, -5.205173492431641, 1.5164872407913208, 8.198334693908691, -2.427635908126831, -1.5277208089828491, -2.2833850383758545, 0.05859375, -0.164794921875, -0.829833984375
43, 1099414105, -5.194621562957764, 1.5148663520812988, 8.218423843383789, -2.5260910987854004, -1.5089722871780396, -2.253776788711548, 0.055908203125, -0.162353515625, -0.827880859375
44, 1099430772, -5.198770523071289, 1.5092815160751343, 8.221351623535156, -2.475095748901367, -1.5302690267562866, -2.3409621715545654, 0.057861328125, -0.164306640625, -0.829345703125
45, 1099447439, -5.182933807373047, 1.4973763227462769, 8.223697662353516, -2.5465428829193115, -1.5211254358291626, -2.3640267848968506, 0.05810546875, -0.163330078125, -0.833251953125
46, 1099464106, -5.18284273147583, 1.5238564014434814, 8.202739715576172, -2.6091277599334717, -1.5274263620376587, -2.344510316848755, 0.05810546875, -0.164794921875, -0.829345703125
47, 1099480773, -5.1870880126953125, 1.5162311792373657, 8.17977523803711, -2.5655477046966553, -1.6252669095993042, -2.368624448776245, 0.05810546875, -0.166259765625, -0.830322265625
48, 1099497440, -5.175428867340088, 1.5389487743377686, 8.194000244140625, -2.6313469409942627, -1.464188575744629, -2.4289681911468506, 0.057373046875, -0.163330078125, -0.828857421875
49, 1099514107, -5.189566612243652, 1.5159114599227905, 8.205277442932129, -2.590968370437622, -1.5170916318893433, -2.505793333053589, 0.05810546875, -0.164306640625, -0.828857421875
50, 1099530774, -5.189026355743408, 1.512338399887085, 8.197461128234863, -2.685594320297241, -1.502274751663208, -2.4859817028045654, 0.057373046875, -0.162841796875, -0.829345703125
51, 1099547441, -5.187448978424072, 1.5032734870910645, 8.218299865722656, -2.5469648838043213, -1.3818179368972778, -2.4486892223358154, 0.05712890625, -0.164794921875, -0.832763671875
52, 1099564108, -5.193528652191162, 1.5073943138122559, 8.203912734985352, -2.616760015487671, -1.3795514106750488, -2.461560010910034, 0.056884765625, -0.164306640625, -0.830810546875
53, 1099580775, -5.182674407958984, 1.5203146934509277, 8.219011306762695, -2.686208963394165, -1.448693037033081, -2.552203416824341, 0.05859375, -0.162841796875, -0.830810546875
54, 1099597442, -5.196290969848633, 1.5035221576690674, 8.20710563659668, -2.84904146194458, -1.4924135208129883, -2.659968614578247, 0.057373046875, -0.164794921875, -0.828857421875
55, 1099614109, -5.200791358947754, 1.487277865409851, 8.222365379333496, -2.814220666885376, -1.4717440605163574, -2.638619899749756, 0.056884765625, -0.163330078125, -0.828857421875
56, 1099630776, -5.197513580322266, 1.4964733123779297, 8.194990158081055, -2.7989561557769775, -1.3961613178253174, -2.5982933044433594, 0.05810546875, -0.162841796875, -0.828857421875
57, 1099647443, -5.186389446258545, 1.5083602666854858, 8.212011337280273, -2.676591396331787, -1.3728153705596924, -2.5508971214294434, 0.05712890625, -0.164306640625, -0.832763671875
58, 1099664110, -5.19683313369751, 1.5074530839920044, 8.231283187866211, -2.666935443878174, -1.3088091611862183, -2.6032750606536865, 0.05859375, -0.162353515625, -0.827880859375
59, 1099680777, -5.184463977813721, 1.4812088012695312, 8.208565711975098, -2.6640799045562744, -1.265895128250122, -2.549565315246582, 0.057861328125, -0.163818359375, -0.828857421875
60, 1099697444, -5.188076019287109, 1.492170810699463, 8.209718704223633, -2.5633959770202637, -1.240807294845581, -2.494805335998535, 0.05810546875, -0.162841796875, -0.829345703125
61, 1099714111, -5.210442066192627, 1.504024624824524, 8.223297119140625, -2.6414380073547363, -1.3346524238586426, -2.4861226081848145, 0.05810546875, -0.165283203125, -0.828857421875
62, 1099730778, -5.206623554229736, 1.500325083732605, 8.217958450317383, -2.608884572982788, -1.3837776184082031, -2.459587812423706, 0.057373046875, -0.164794921875, -0.829345703125
63, 1099747445, -5.196298122406006, 1.5076229572296143, 8.222264289855957, -2.657650947570801, -1.4198145866394043, -2.4523138999938965, 0.0576171875, -0.161865234375, -0.831298828125
64, 1099764112, -5.194389820098877, 1.4976181983947754, 8.216556549072266, -2.5685060024261475, -1.3541820049285889, -2.476633071899414, 0.05810546875, -0.164306640625, -0.830810546875
65, 1099780779, -5.18578577041626, 1.4992930889129639, 8.225996017456055, -2.579288959503174, -1.403396725654602, -2.5095324516296387, 0.056884765625, -0.163330078125, -0.828857421875
66, 1099797446, -5.200745582580566, 1.5073529481887817, 8.216075897216797, -2.526309013366699, -1.3036482334136963, -2.5319180488586426, 0.056884765625, -0.163330078125, -0.829345703125
67, 1099814113, -5.200596809387207, 1.495551586151123, 8.216200828552246, -2.5098013877868652, -1.3193230628967285, -2.4350762367248535, 0.057373046875, -0.163330078125, -0.828857421875
68, 1099830780, -5.198277950286865, 1.48833429813385, 8.211021423339844, -2.5635111331939697, -1.3510315418243408, -2.462059259414673, 0.05810546875, -0.163818359375, -0.828857421875
69, 1099847447, -5.195329666137695, 1.503099799156189, 8.217931747436523, -2.5898795127868652, -1.4210950136184692, -2.456462860107422, 0.0576171875, -0.162353515625, -0.831298828125
70, 1099864114, -5.1872992515563965, 1.5053530931472778, 8.214614868164062, -2.5705418586730957, -1.3249449729919434, -2.3653969764709473, 0.05810546875, -0.164794921875, -0.828369140625
71, 1099880781, -5.184390544891357, 1.495625376701355, 8.20375919342041, -2.6088714599609375, -1.3594838380813599, -2.5094172954559326, 0.05908203125, -0.163330078125, -0.830322265625
72, 1099897448, -5.182582378387451, 1.4901413917541504, 8.205066680908203, -2.614339828491211, -1.2834910154342651, -2.553650379180908, 0.060546875, -0.163818359375, -0.831298828125
73, 1099914115, -5.200346946716309, 1.491758942604065, 8.196187019348145, -2.502399206161499, -1.2092524766921997, -2.450674533843994, 0.05859375, -0.163330078125, -0.831298828125
74, 1099930782, -5.19857931137085, 1.5081682205200195, 8.20375919342041, -2.5460050106048584, -1.1440680027008057, -2.504845380783081, 0.05908203125, -0.165283203125, -0.829345703125
75, 1099947449, -5.206470489501953, 1.4970779418945312, 8.211688995361328, -2.4586398601531982, -1.2844771146774292, -2.3728249073028564, 0.06005859375, -0.163818359375, -0.831298828125
76, 1099964116, -5.1944355964660645, 1.49761962890625, 8.208462715148926, -2.5161020755767822, -1.2693525552749634, -2.377703905105591, 0.05810546875, -0.161865234375, -0.830322265625
77, 1099980783, -5.1976118087768555, 1.4962129592895508, 8.250935554504395, -2.558619499206543, -1.3997725248336792, -2.422858953475952, 0.0595703125, -0.164306640625, -0.82958984375
78, 1099997450, -5.200978755950928, 1.5136785507202148, 8.222225189208984, -2.602916717529297, -1.4227728843688965, -2.4128830432891846, 0.06103515625, -0.163818359375, -0.82763671875
79, 1100014117, -5.198970317840576, 1.518606185913086, 8.226088523864746, -2.526667594909668, -1.47404944896698, -2.490323305130005, 0.058349609375, -0.163818359375, -0.82763671875
80, 1100030784, -5.185887336730957, 1.4941595792770386, 8.195002555847168, -2.6373274326324463, -1.4764188528060913, -2.395056962966919, 0.056884765625, -0.164306640625, -0.830810546875
81, 1100047451, -5.198431968688965, 1.5074361562728882, 8.216418266296387, -2.5105953216552734, -1.405855655670166, -2.344036102294922, 0.05908203125, -0.164794921875, -0.829345703125
82, 1100064118, -5.197404861450195, 1.5179343223571777, 8.25346851348877, -2.588829517364502, -1.4703741073608398, -2.3718132972717285, 0.0576171875, -0.163818359375, -0.830322265625
83, 1100080785, -5.195688724517822, 1.4990893602371216, 8.218934059143066, -2.5008111000061035, -1.5090489387512207, -2.4001405239105225, 0.0595703125, -0.163818359375, -0.82861328125
84, 1100097452, -5.202106952667236, 1.5071452856063843, 8.206099510192871, -2.5774829387664795, -1.4019240140914917, -2.391470432281494, 0.06201171875, -0.164306640625, -0.830078125
85, 1100114119, -5.204913139343262, 1.4936871528625488, 8.195837020874023, -2.5613338947296143, -1.3025082349777222, -2.427968740463257, 0.0576171875, -0.163818359375, -0.830810546875
86, 1100130786, -5.19083309173584, 1.5031356811523438, 8.221807479858398, -2.5716817378997803, -1.3572938442230225, -2.4556050300598145, 0.057373046875, -0.164794921875, -0.829345703125
87, 1100147453, -5.189441680908203, 1.503044843673706, 8.203017234802246, -2.4867241382598877, -1.4516892433166504, -2.480128765106201, 0.05859375, -0.163818359375, -0.829345703125
88, 1100164120, -5.197007179260254, 1.502159595489502, 8.18620777130127, -2.6102161407470703, -1.4303796291351318, -2.441056966781616, 0.0595703125, -0.161865234375, -0.828857421875
89, 1100180787, -5.193261623382568, 1.50735604763031, 8.208329200744629, -2.533416271209717, -1.3175044059753418, -2.423947811126709, 0.058349609375, -0.162353515625, -0.827880859375
