sep=,
DeviceTag:,B,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-05 16:02:25.826 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 792874641, -4.54998779296875, -1.5445548295974731, 8.414022445678711, -0.18704955279827118, -0.6041011810302734, -1.0177462100982666, -0.021240234375, 0.10498046875, -0.828369140625
2, 792891308, -4.55819845199585, -1.5473989248275757, 8.42282772064209, -0.09896747022867203, -0.64080411195755, -0.9655090570449829, -0.021728515625, 0.106201171875, -0.827880859375
3, 792907975, -4.543192386627197, -1.5323846340179443, 8.41585922241211, -0.150551438331604, -0.6222477555274963, -0.9976402521133423, -0.020751953125, 0.1044921875, -0.829833984375
4, 792924642, -4.546775817871094, -1.5436793565750122, 8.421451568603516, -0.2496853917837143, -0.5733146667480469, -1.0307319164276123, -0.020751953125, 0.1044921875, -0.827880859375
5, 792941309, -4.55159854888916, -1.55157470703125, 8.41768741607666, -0.20975521206855774, -0.5903215408325195, -1.008897066116333, -0.020751953125, 0.1015625, -0.826416015625
6, 792957976, -4.527308464050293, -1.5473166704177856, 8.410881042480469, -0.23516298830509186, -0.5112038850784302, -0.9930170774459839, -0.021240234375, 0.103515625, -0.829833984375
7, 792974643, -4.544652462005615, -1.559499979019165, 8.409937858581543, -0.23399761319160461, -0.558792233467102, -0.9650095701217651, -0.021240234375, 0.10498046875, -0.828857421875
8, 792991310, -4.54097843170166, -1.555728793144226, 8.39001178741455, -0.2696121037006378, -0.587875485420227, -1.03968346118927, -0.018798828125, 0.105224609375, -0.829345703125
9, 793007977, -4.554330825805664, -1.552276849746704, 8.40073299407959, -0.18346375226974487, -0.5682433247566223, -1.0146598815917969, -0.022216796875, 0.103515625, -0.827880859375
10, 793024644, -4.550653457641602, -1.540501594543457, 8.408769607543945, -0.15306147933006287, -0.6062013506889343, -0.9413819313049316, -0.019287109375, 0.10205078125, -0.829833984375
11, 793041311, -4.549113750457764, -1.53800630569458, 8.422030448913574, -0.1694279909133911, -0.599567711353302, -0.9200337529182434, -0.020263671875, 0.10400390625, -0.831298828125
12, 793057978, -4.549466609954834, -1.5290969610214233, 8.413494110107422, -0.13385197520256042, -0.608737051486969, -0.9235171675682068, -0.021728515625, 0.103515625, -0.829345703125
