sep=,
DeviceTag:,A,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-03 10:58:55.699 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 3481600394, -4.747101783752441, 1.3980088233947754, 8.502364158630371, -2.511005401611328, -1.378206729888916, -2.305194139480591, 0.484375, -0.378173828125, -0.732666015625
2, 3481617061, -4.765237331390381, 1.3990715742111206, 8.500290870666504, -2.5235164165496826, -1.411848783493042, -2.376499891281128, 0.4853515625, -0.377685546875, -0.732177734375
3, 3481633728, -4.73901891708374, 1.4006930589675903, 8.49395751953125, -2.5899693965911865, -1.5235717296600342, -2.3313064575195312, 0.4853515625, -0.378662109375, -0.732666015625
4, 3481650395, -4.748985290527344, 1.4034920930862427, 8.472444534301758, -2.6537322998046875, -1.521458625793457, -2.360837936401367, 0.4833984375, -0.376708984375, -0.733154296875
5, 3481667062, -4.746934413909912, 1.405501365661621, 8.497976303100586, -2.6158249378204346, -1.6034575700759888, -2.296114683151245, 0.486328125, -0.377685546875, -0.732666015625
6, 3481683729, -4.747101783752441, 1.4055358171463013, 8.477933883666992, -2.6097168922424316, -1.58993399143219, -2.324032783508301, 0.48486328125, -0.378173828125, -0.730712890625
7, 3481700396, -4.73337984085083, 1.4182981252670288, 8.477149963378906, -2.633075714111328, -1.5875906944274902, -2.3717236518859863, 0.487548828125, -0.378662109375, -0.731201171875
8, 3481717063, -4.733646392822266, 1.3949203491210938, 8.491363525390625, -2.673492431640625, -1.5586354732513428, -2.4269189834594727, 0.48583984375, -0.377197265625, -0.731689453125
9, 3481733730, -4.750364780426025, 1.3994348049163818, 8.479351997375488, -2.592799186706543, -1.6000382900238037, -2.291670799255371, 0.4853515625, -0.377685546875, -0.732177734375
10, 3481750397, -4.741998672485352, 1.401197075843811, 8.5098295211792, -2.577893018722534, -1.5826729536056519, -2.33549427986145, 0.484375, -0.376220703125, -0.731689453125
11, 3481767064, -4.750767707824707, 1.407771348953247, 8.485464096069336, -2.5826568603515625, -1.565320372581482, -2.3395795822143555, 0.4853515625, -0.376708984375, -0.732666015625
12, 3481783731, -4.737161159515381, 1.4010958671569824, 8.500499725341797, -2.606835126876831, -1.5196657180786133, -2.3569576740264893, 0.484375, -0.377685546875, -0.733154296875
13, 3481800398, -4.748508930206299, 1.3956245183944702, 8.496581077575684, -2.618258476257324, -1.5652434825897217, -2.368342399597168, 0.486328125, -0.376220703125, -0.735107421875
14, 3481817065, -4.751662731170654, 1.4009183645248413, 8.49118423461914, -2.607667922973633, -1.5785237550735474, -2.3582258224487305, 0.484375, -0.377685546875, -0.729736328125
15, 3481833732, -4.735846519470215, 1.408430576324463, 8.470041275024414, -2.604837656021118, -1.706702470779419, -2.332536220550537, 0.486328125, -0.374755859375, -0.732177734375
16, 3481850399, -4.7480902671813965, 1.407109260559082, 8.486065864562988, -2.5437252521514893, -1.6575772762298584, -2.32218861579895, 0.486328125, -0.375732421875, -0.731689453125
17, 3481867066, -4.740950584411621, 1.400666356086731, 8.49034309387207, -2.5259501934051514, -1.6404935121536255, -2.269195795059204, 0.4853515625, -0.376708984375, -0.732666015625
18, 3481883733, -4.7451934814453125, 1.4161667823791504, 8.482759475708008, -2.5962953567504883, -1.5318572521209717, -2.3406553268432617, 0.4853515625, -0.376708984375, -0.734130859375
19, 3481900400, -4.749342918395996, 1.394376277923584, 8.486434936523438, -2.5499110221862793, -1.5475068092346191, -2.4004993438720703, 0.48388671875, -0.375732421875, -0.731689453125
20, 3481917067, -4.7404890060424805, 1.4002721309661865, 8.501310348510742, -2.581183910369873, -1.5465974807739258, -2.296562671661377, 0.48486328125, -0.375732421875, -0.734619140625
21, 3481933734, -4.739724159240723, 1.385039210319519, 8.486072540283203, -2.5628321170806885, -1.4756373167037964, -2.3841452598571777, 0.48486328125, -0.376708984375, -0.732177734375
22, 3481950401, -4.743197917938232, 1.3963712453842163, 8.49850845336914, -2.5422141551971436, -1.5051559209823608, -2.326260805130005, 0.4853515625, -0.377197265625, -0.732177734375
23, 3481967068, -4.723833084106445, 1.3969688415527344, 8.49277114868164, -2.6230990886688232, -1.4576443433761597, -2.270207405090332, 0.4873046875, -0.376220703125, -0.731689453125
24, 3481983735, -4.750244140625, 1.3870083093643188, 8.487223625183105, -2.5191497802734375, -1.488930344581604, -2.366626501083374, 0.4853515625, -0.375244140625, -0.731689453125
25, 3482000402, -4.752156734466553, 1.395437240600586, 8.499823570251465, -2.526949405670166, -1.4637274742126465, -2.3402836322784424, 0.48388671875, -0.375732421875, -0.730712890625
26, 3482017069, -4.745931625366211, 1.3960809707641602, 8.481321334838867, -2.58756160736084, -1.5255054235458374, -2.273242473602295, 0.48388671875, -0.375244140625, -0.733642578125
27, 3482033736, -4.745361804962158, 1.3968839645385742, 8.502239227294922, -2.4971485137939453, -1.611973762512207, -2.2606024742126465, 0.482421875, -0.378173828125, -0.733154296875
28, 3482050403, -4.741655349731445, 1.3996306657791138, 8.4795560836792, -2.475032091140747, -1.6291979551315308, -2.2637269496917725, 0.48291015625, -0.376708984375, -0.733154296875
29, 3482067070, -4.7433552742004395, 1.3929717540740967, 8.494315147399902, -2.46873140335083, -1.4963964223861694, -2.278505802154541, 0.4833984375, -0.376708984375, -0.732666015625
30, 3482083737, -4.74668550491333, 1.3904132843017578, 8.497763633728027, -2.4987881183624268, -1.4530980587005615, -2.325223207473755, 0.48388671875, -0.375732421875, -0.732666015625
31, 3482100404, -4.727821350097656, 1.3987300395965576, 8.49950885772705, -2.503603219985962, -1.3873759508132935, -2.3052070140838623, 0.4833984375, -0.376220703125, -0.732177734375
32, 3482117071, -4.748049736022949, 1.402509093284607, 8.483641624450684, -2.4389567375183105, -1.3762471675872803, -2.3647313117980957, 0.484375, -0.374267578125, -0.733642578125
33, 3482133738, -4.747682571411133, 1.4007126092910767, 8.497053146362305, -2.4974818229675293, -1.4897115230560303, -2.3599157333374023, 0.48388671875, -0.376220703125, -0.733154296875
34, 3482150405, -4.753310203552246, 1.3950539827346802, 8.495159149169922, -2.558427333831787, -1.4684016704559326, -2.356163740158081, 0.48388671875, -0.377197265625, -0.733154296875
35, 3482167072, -4.740119457244873, 1.3955084085464478, 8.484919548034668, -2.454925775527954, -1.466019630432129, -2.374335527420044, 0.484375, -0.379150390625, -0.733642578125
36, 3482183739, -4.751766681671143, 1.3884488344192505, 8.512276649475098, -2.493870258331299, -1.5893834829330444, -2.3374404907226562, 0.4853515625, -0.375244140625, -0.732177734375
37, 3482200406, -4.745869159698486, 1.389180064201355, 8.489808082580566, -2.438034772872925, -1.5635017156600952, -2.2626516819000244, 0.4833984375, -0.374267578125, -0.732666015625
38, 3482217073, -4.737916946411133, 1.3973735570907593, 8.493738174438477, -2.413177251815796, -1.4352588653564453, -2.366933584213257, 0.4833984375, -0.375732421875, -0.733154296875
39, 3482233740, -4.736935138702393, 1.411755084991455, 8.46696662902832, -2.46932053565979, -1.4406630992889404, -2.3939294815063477, 0.482421875, -0.377197265625, -0.733154296875
40, 3482250407, -4.740392208099365, 1.3948079347610474, 8.474477767944336, -2.4588706493377686, -1.4686834812164307, -2.3313450813293457, 0.48583984375, -0.375732421875, -0.733154296875
41, 3482267074, -4.747376441955566, 1.3980722427368164, 8.484569549560547, -2.547119379043579, -1.448667287826538, -2.369046926498413, 0.48486328125, -0.376708984375, -0.732177734375
42, 3482283741, -4.74111270904541, 1.4011839628219604, 8.501365661621094, -2.468308448791504, -1.4139617681503296, -2.3994617462158203, 0.48291015625, -0.376708984375, -0.734375
43, 3482300408, -4.742018699645996, 1.3968042135238647, 8.47602367401123, -2.4205923080444336, -1.382932186126709, -2.332369565963745, 0.484375, -0.376220703125, -0.733642578125
44, 3482317075, -4.7382917404174805, 1.3961623907089233, 8.475224494934082, -2.4925384521484375, -1.4630870819091797, -2.354396343231201, 0.48388671875, -0.376708984375, -0.731201171875
45, 3482333742, -4.73579216003418, 1.3950598239898682, 8.4794282913208, -2.4754674434661865, -1.421172022819519, -2.3232898712158203, 0.486328125, -0.377685546875, -0.731201171875
46, 3482350409, -4.746800899505615, 1.4088612794876099, 8.509264945983887, -2.475390672683716, -1.363005518913269, -2.352231979370117, 0.48486328125, -0.376220703125, -0.729736328125
47, 3482367076, -4.744220733642578, 1.4032306671142578, 8.511323928833008, -2.5358493328094482, -1.4819763898849487, -2.3581738471984863, 0.48681640625, -0.377197265625, -0.734619140625
48, 3482383743, -4.737624645233154, 1.4135643243789673, 8.49512004852295, -2.5890469551086426, -1.4233874082565308, -2.3174242973327637, 0.484375, -0.377685546875, -0.735107421875
49, 3482400410, -4.741157054901123, 1.3859680891036987, 8.486682891845703, -2.482908010482788, -1.3932796716690063, -2.2889814376831055, 0.484375, -0.378662109375, -0.732177734375
50, 3482417077, -4.74451208114624, 1.4015986919403076, 8.49009895324707, -2.396695852279663, -1.4108244180679321, -2.359365224838257, 0.48583984375, -0.375244140625, -0.732666015625
51, 3482433744, -4.747463226318359, 1.3978804349899292, 8.4935941696167, -2.488785982131958, -1.3680896759033203, -2.391547679901123, 0.48291015625, -0.377685546875, -0.731201171875
52, 3482450411, -4.736369609832764, 1.3895238637924194, 8.504858016967773, -2.4230382442474365, -1.457106590270996, -2.3540377616882324, 0.4833984375, -0.377197265625, -0.731201171875
53, 3482467078, -4.744894027709961, 1.3905891180038452, 8.480876922607422, -2.537616491317749, -1.3754019737243652, -2.265058994293213, 0.4833984375, -0.376220703125, -0.732177734375
54, 3482483745, -4.7413411140441895, 1.3965011835098267, 8.490846633911133, -2.480487585067749, -1.452368140220642, -2.4167120456695557, 0.484375, -0.376220703125, -0.733154296875
55, 3482500412, -4.739144325256348, 1.4026979207992554, 8.474955558776855, -2.5121448040008545, -1.339685082435608, -2.40482759475708, 0.48291015625, -0.378662109375, -0.734130859375
56, 3482517079, -4.7397847175598145, 1.388649344444275, 8.491308212280273, -2.56335711479187, -1.3299137353897095, -2.3358142375946045, 0.4853515625, -0.376708984375, -0.735107421875
57, 3482533746, -4.751777648925781, 1.3905127048492432, 8.490365982055664, -2.5307395458221436, -1.3353180885314941, -2.394083261489868, 0.48486328125, -0.376708984375, -0.733154296875
58, 3482550413, -4.7379841804504395, 1.387634038925171, 8.480648040771484, -2.502937078475952, -1.3193359375, -2.327759027481079, 0.48388671875, -0.377685546875, -0.732177734375
59, 3482567080, -4.7430009841918945, 1.3964170217514038, 8.492025375366211, -2.4170961380004883, -1.3584977388381958, -2.3128397464752197, 0.482421875, -0.376708984375, -0.733154296875
