sep=,
DeviceTag:,A,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-05 15:13:42.996 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 2165016815, -5.049231052398682, 1.3931394815444946, 8.33382511138916, -2.6027629375457764, -1.3435399532318115, -2.5471580028533936, 0.040771484375, -0.142578125, -0.834228515625
2, 2165033482, -5.046947479248047, 1.3929299116134644, 8.327194213867188, -2.5312137603759766, -1.4214794635772705, -2.474046230316162, 0.04345703125, -0.14404296875, -0.8330078125
3, 2165050149, -5.061358451843262, 1.4069843292236328, 8.313347816467285, -2.614314079284668, -1.4109781980514526, -2.5328147411346436, 0.041259765625, -0.1435546875, -0.834716796875
4, 2165066816, -5.06168794631958, 1.406216025352478, 8.321146965026855, -2.6176438331604004, -1.4020904302597046, -2.5249128341674805, 0.040771484375, -0.14306640625, -0.834228515625
5, 2165083483, -5.056460857391357, 1.3847988843917847, 8.334362030029297, -2.6469316482543945, -1.35573148727417, -2.561180591583252, 0.040283203125, -0.14404296875, -0.835693359375
6, 2165100150, -5.059165954589844, 1.3949609994888306, 8.312504768371582, -2.544647693634033, -1.4119514226913452, -2.4832539558410645, 0.040771484375, -0.14404296875, -0.834228515625
7, 2165116817, -5.0611467361450195, 1.4035484790802002, 8.346519470214844, -2.618502140045166, -1.4417263269424438, -2.52506685256958, 0.041259765625, -0.1455078125, -0.83349609375
8, 2165133484, -5.066856384277344, 1.395780086517334, 8.298163414001465, -2.5192012786865234, -1.4672107696533203, -2.493166208267212, 0.041259765625, -0.14404296875, -0.835205078125
9, 2165150151, -5.062469959259033, 1.3951222896575928, 8.298625946044922, -2.4959964752197266, -1.4172406196594238, -2.5188686847686768, 0.040283203125, -0.14501953125, -0.834716796875
10, 2165166818, -5.06217622756958, 1.3946235179901123, 8.335580825805664, -2.5606424808502197, -1.374761700630188, -2.429825782775879, 0.040771484375, -0.14453125, -0.834716796875
11, 2165183485, -5.073733806610107, 1.396903395652771, 8.320426940917969, -2.6253271102905273, -1.3106658458709717, -2.418632745742798, 0.04345703125, -0.144775390625, -0.836669921875
12, 2165200152, -5.05547571182251, 1.4077728986740112, 8.297578811645508, -2.615940809249878, -1.381485104560852, -2.494459629058838, 0.04248046875, -0.14453125, -0.8330078125
13, 2165216819, -5.069880962371826, 1.3962161540985107, 8.335654258728027, -2.639939546585083, -1.376772403717041, -2.519329071044922, 0.040771484375, -0.1435546875, -0.832763671875
14, 2165233486, -5.0507683753967285, 1.3953417539596558, 8.315314292907715, -2.646150827407837, -1.4755223989486694, -2.567929744720459, 0.040283203125, -0.1455078125, -0.8330078125
15, 2165250153, -5.059704303741455, 1.3975266218185425, 8.316889762878418, -2.602276086807251, -1.5333683490753174, -2.513848066329956, 0.038818359375, -0.14501953125, -0.835693359375
16, 2165266820, -5.059196472167969, 1.4056305885314941, 8.337809562683105, -2.6451902389526367, -1.510560393333435, -2.5242855548858643, 0.04248046875, -0.14208984375, -0.833740234375
17, 2165283487, -5.052655220031738, 1.393862247467041, 8.31855583190918, -2.626044511795044, -1.4115288257598877, -2.5309958457946777, 0.040771484375, -0.1435546875, -0.835205078125
18, 2165300154, -5.043896675109863, 1.4084354639053345, 8.322822570800781, -2.594054698944092, -1.4449405670166016, -2.558529853820801, 0.041259765625, -0.14501953125, -0.83349609375
19, 2165316821, -5.0560407638549805, 1.3935494422912598, 8.309502601623535, -2.6734414100646973, -1.4311994314193726, -2.5927867889404297, 0.04150390625, -0.14501953125, -0.834716796875
20, 2165333488, -5.064946174621582, 1.3817797899246216, 8.310041427612305, -2.694725513458252, -1.3731098175048828, -2.6010468006134033, 0.041259765625, -0.1416015625, -0.833740234375
21, 2165350155, -5.054886341094971, 1.3853731155395508, 8.299802780151367, -2.7386767864227295, -1.381523609161377, -2.6494035720825195, 0.040283203125, -0.1416015625, -0.834716796875
22, 2165366822, -5.059931755065918, 1.3917146921157837, 8.308904647827148, -2.739650011062622, -1.4136290550231934, -2.6289901733398438, 0.0419921875, -0.1435546875, -0.834716796875
23, 2165383489, -5.064911842346191, 1.3972008228302002, 8.309645652770996, -2.759166955947876, -1.3628774881362915, -2.576484203338623, 0.0439453125, -0.1435546875, -0.833984375
24, 2165400156, -5.058679103851318, 1.3703683614730835, 8.323551177978516, -2.7494852542877197, -1.4894299507141113, -2.5449421405792236, 0.0439453125, -0.1435546875, -0.8330078125
25, 2165416823, -5.051010608673096, 1.389754056930542, 8.327823638916016, -2.6805615425109863, -1.5131601095199585, -2.5857434272766113, 0.04345703125, -0.14208984375, -0.833984375
26, 2165433490, -5.067074775695801, 1.385574460029602, 8.319472312927246, -2.6385695934295654, -1.47493314743042, -2.560476064682007, 0.041259765625, -0.14501953125, -0.834228515625
27, 2165450157, -5.061115741729736, 1.3962653875350952, 8.32032585144043, -2.631744146347046, -1.4812084436416626, -2.549513816833496, 0.041015625, -0.14404296875, -0.835693359375
28, 2165466824, -5.061300277709961, 1.3935338258743286, 8.334516525268555, -2.608090400695801, -1.4770333766937256, -2.5341851711273193, 0.04150390625, -0.1435546875, -0.835205078125
29, 2165483491, -5.049994945526123, 1.4005379676818848, 8.321188926696777, -2.552510976791382, -1.5198577642440796, -2.4743406772613525, 0.04345703125, -0.1435546875, -0.83203125
30, 2165500158, -5.0441975593566895, 1.379309892654419, 8.316046714782715, -2.6096014976501465, -1.4440058469772339, -2.532571315765381, 0.04296875, -0.14501953125, -0.833984375
31, 2165516825, -5.062167167663574, 1.3767043352127075, 8.317347526550293, -2.5873312950134277, -1.3484832048416138, -2.518266439437866, 0.0419921875, -0.14501953125, -0.8330078125
