sep=,
DeviceTag:,A,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities (with mag),,,,,,,,,,,,,,,,,
StartTime:,2022-08-03 16:03:23.019 +0300,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2022,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
1, 2587296895, -1.030478596687317, -1.1805325746536255, 9.858804702758789, -2.3006479740142822, -0.609441339969635, -0.36614635586738586, 0.536376953125, -0.3564453125, -0.757568359375
2, 2587313562, -1.1384873390197754, -1.2048264741897583, 9.891570091247559, -4.135490417480469, -0.5386606454849243, -1.631324052810669, 0.5380859375, -0.35546875, -0.755615234375
3, 2587330229, -1.1843067407608032, -1.290001392364502, 10.042013168334961, -3.1897032260894775, -3.5435171127319336, -2.8145029544830322, 0.53857421875, -0.35400390625, -0.754150390625
4, 2587346896, -1.2503654956817627, -1.3754490613937378, 9.97814655303955, -0.9265907406806946, -5.566511154174805, -3.7678844928741455, 0.53662109375, -0.35693359375, -0.755615234375
5, 2587363563, -1.3682010173797607, -1.403499722480774, 10.042994499206543, 0.5615649819374084, -6.944026947021484, -3.732513666152954, 0.534912109375, -0.357421875, -0.758544921875
6, 2587380230, -1.3505775928497314, -1.4252575635910034, 10.182061195373535, 1.5192110538482666, -5.19962215423584, -4.0155463218688965, 0.535888671875, -0.35546875, -0.7587890625
7, 2587396897, -1.306557536125183, -1.4829494953155518, 10.124998092651367, 3.218857765197754, -6.3846330642700195, -4.122787952423096, 0.533447265625, -0.358154296875, -0.755615234375
8, 2587413564, -1.3369083404541016, -1.4819920063018799, 10.10168743133545, 3.2660229206085205, -3.1155288219451904, -4.946671009063721, 0.532958984375, -0.360107421875, -0.757568359375
9, 2587430231, -1.1383682489395142, -1.47722327709198, 9.998984336853027, 4.213271617889404, -6.633371353149414, -5.8531060218811035, 0.530029296875, -0.362548828125, -0.758056640625
10, 2587446898, -1.0841174125671387, -1.474341869354248, 9.774713516235352, 5.0798020362854, -11.039387702941895, -6.851465702056885, 0.530517578125, -0.362548828125, -0.757568359375
